usr_code,title,review,rating,place,travel_date
Sissy581,Closed and no signs to tell times open.,We drove there hoping to see the museum and it was closed and looked very run down. No one around and no signs to say when it was open. We walked all around and looked at the views from the area. We could tell it was cared for and pretty at one time. Building doesn't look good at all.,20,Junipero Serra Museum,April 2018
QualityTravelBee,Junipero Serra museum is a jewel of San Diego,"I collected many photos of the museum grounds during seasonal trees bloom, but blooming Yukka trees are the most impressive of them all!",50,Junipero Serra Museum,July 2018
barbgal,Good view and good walk,"It's worth going up here for the sheer beauty of the site.  What I saw of the museum was ordinary.  The site of the Presidio is lovely but not well interpreted, it will look like a pasture to most.",40,Junipero Serra Museum,February 2019
Winrow1,"""Brilliant""",Great performance and stage craft. Excellent directing as well as musical talent was remarkable and unique.,50,San Diego Repertory Theatre,November 2015
olegk596,Hershey Felder Beethoven @ the Lyceum,"Judging by some YouTube videos, I was expecting something similar to Victor Borge. It turned out to be a more serious but also much deeper performance about Beethoven. Mr Fielder's piano playing was amazing. But it was his performance, his sincerity and his humble demeanour which left us with a feeling of admiration and awe. For anyone serious about classical music and history, this was a performance not to be missed.",50,San Diego Repertory Theatre,February 2019
781carac,Amazing performance ,"This is a small, downtown theater that we go to a lot as it is in walking distance from our condo. We saw Hershey Felder perform a story about Beethoven as send through a child’s eyes. He played music with the story. It was brilliant!  He had a question and answer session at the end. Everything was timed perfectly. The sets and lighting was amazing. Can’t wait for the next one. ",50,San Diego Repertory Theatre,March 2019
Mikki H,33 1/2 House of Dreams,Talented cast and some beautiful solos. Enjoyed it! Well laid out theatre so no bad seats in the house that I could see.,40,San Diego Repertory Theatre,August 2019
flaviator,Great little theatre,Lovely entry and refreshment bar downstairs. Plenty of rest rooms.,50,San Diego Repertory Theatre,October 2019
Escape-overseas,An introduction to the 'Old Town',One of a collection of historic buildings that make up the 'Old Town' the museum is worthy of a visit to get a feeling for the history. During our visit there was a young lady in costume sewing in the 'parlour'. Entrance is free. ,30,McCoy Museum House,December 2016
shri5,Slice of history,"This building is a reconstruction of the original, two-storey, wood-frame house originally built for Sheriff James McCoy. It contains exhibits depicting Old Town's transition from a Mexican pueblo to an American frontier town. Walking distance from the Old Town transit trolley station.",40,McCoy Museum House,June 2017
Marta E,"Not usually open, but glad it was",This is the lst place u see when you walk from the old Town station! I came in and the docent dressed in period costume was knitting and told me a little history about this place. There is little museum in this house worth visiting. The docent also told me about the band that was playing upstairs. THey played well and I even got to see a mandolin@,50,McCoy Museum House,July 2018
279ericai,Not bad for a quick peek,"I woudn't travel into Old Town just to see the McCoy Museum, but if you are planning on visiting Old Town for the first time, this is a nice place to start. It is free and has lots of pictures of what San Diego used to be like, the house is decorated in the way that it would have been back when the town was settled. Not a bad little introduction to Old Town itself.",30,McCoy Museum House,April 2019
GlobalGypsy_13,Active Heart of Liberty Station,"If a woman is the heart of a home, then the Women's Museum is the very active heart of Liberty Station. Not only does this one room museum exhibit a different show every month from art to politics, they host a variety of activities from dances, movies, speakers, book talks, and community meetings, such as OWL. They also have a small book/gift shop that spills over into the adjacent portico on the First Friday of the Month when wine, cheese and more is available.  For a quick and fun look into the women and history of San Diego, go to the Women's Museum.",50,Women's Museum of California,September 2016
ClareScottsdale,"Lovely museum, exhibits and great place to buy books","This is a small museum and they have lovely exhibits including one on fashion. I think it is important to support women's museums. I took women studies classes at San Diego State University and they offered a book ""The Girl At The Fence"" which is a passionate look at the pioneer who introduced the concept of a women studies program. ",50,Women's Museum of California,June 2017
john d,One of only 5 such museums in the country,"Easy to access with good parking, the Women's Museum of California is a pleasant, informative experience.  Admission is a voluntary donation.  Amazing that one woman was able to collect nearly all the historic material on display; Mary was a treasure.  When we visited, there were exhibits depicting suffrage, fashion and especially, women at work during WWII, including period newsreels that run continually on a screen.  Besides this museum, there are eateries and other attractions, including another museum within strolling distance.  Well worth a visit.",50,Women's Museum of California,August 2019
GlobalGypsy_13,Mighty Punch,"this 1 room museum in Liberty Station packs a mighty punch. In addition to changing exhibits every 2 months, they host many meetings and special activities here related to women, such as films and new books.  Their small gift shop is worth browsing, and free parking is available in many parking lots in this complex of shops and museums.",50,Women's Museum of California,November 2019
AnnaLapid,A Must-Visit if you're a quilter,"I'm a modern quilter, so my sewing is functional rather than artistic.  However, I'm glad to have viewed the art quilts at this tiny museum.  It's a pity that one is not allowed to take a picture, but I get it--they want you to purchase the exhibit catalog and not pilfer the intellectual property of the artists exhibited.  My favorite art quilts (and I'm sorry I didn't at least record the names of the quilt artists) were one of watercolor pencils and ""Urban Cathedral"" by Hope Wilmarth.  And I was really impressed by one with a gazillion beads and buttons.  But my study of all the quilt stitching on these quilts was really inspirational despite not being an art quilter.",40,Visions Art Museum,December 2016
SheilaB1358,Fabric and textile museum,Such an amazing venue for a type of museum that is uncommon.  People are excited to see the different exhibits that are created by the limitless imaginations of these artists.,50,Visions Art Museum,March 2019
LodiWineBob,"Amazing what can be done with needle, thread and fabric ",Plenty of parking and nearby restaurants and bistros are top notch.,50,Visions Art Museum,June 2019
GlobalGypsy_13,Expanded and Alive,"Although the space at Liberty Station has remained the same, Visions Art Museum now has an more active outreach program. In addition to recently instituting free admission (donation box at exhibit entry), they have more textile classes, regular demonstrations, such as painting on silk, and an expanded gift shop with more vendors. Keep it UP!",50,Visions Art Museum,November 2019
rambler1Chicago,Beyond our highest expectations,"Had seen Hershey Felders previous production of Gershwin, Chopin, etc in Chicago. I was looking online to see if he was doing a new play and saw he was doing Tchaikovsky at Lyceum in San Diego. Got tickets and flew out to see it. It was fantastic.",50,Lyceum Theater,January 2017
GlobalGypsy_13,What a Facelift!,"In 2017 the Lyceum Theater emerged better than ever with a facelift.  At the foot of the new wood staircase that doubles as bleacher seating there's a small stage, comfortable chairs, new lighting, and a rotating art exhibit. All of the theaters feature good seating as they are fairly small, so you might lack leg space, but you're not lost in a crowd with an obstructed view. Most plays feature a pre or post event at the new stage area in the downstairs foyer, so be sure to check your schedule or ask.  Also, every other week there's a mini-Athenaeum free concert at noontime by donation.",40,Lyceum Theater,March 2017
Vendrizzi,Great Theater Experiences,"I am fortunate to be an usher at this outstanding live theater location. They commission excellent plays and musicals not seen anywhere else, some pieces being locally written. I recently ushered ""Margin of Error"" which I highly recommend. Look on their website for a synopsis of this play as well as upcoming ones. Parking can be a problem. DON""T PARK at the Horton Plaza because it's no longer free with validation (unless you purchase a movie ticket or a purchase at Macy's, Jimbo's or another large store. Your best place for parking would be at the underground NBC building or at the Spreckles Theater, both for $10 after 5pm.",40,Lyceum Theater,April 2017
DavidB288,"Recently redone, job well done",I'm looking forward to attending more plays here.,40,Lyceum Theater,March 2019
marykeeley,Never disappointed with the presentations here.,"We have frequented this lovely, cozy theater for many years. We enjoy the variety of artistic selections very much, from straight plays to musicals to the wonderful one man performances by Herschel Felder. It is a great community theater that attracts many professional performers. We're grateful for this venue and happy to support their endeavors.",50,Lyceum Theater,August 2019
Tiberiu_Baranyi,Honoring the past!,That's about it  - I recommend you take a few minutes and stop here and remember those who served with honor.,40,U.S.S. San Diego Memorial,February 2018
Escape-overseas,To commentate a ship and crew,"The design of the monument is large and serves to commemorate the achievements of the ship and crew, being one of the most decorated ships in the fleet, having been awarded18 battle stars. It was the first major warship to enter Tokyo Bay following the surrender of Japan.  As you walk along the path the memorial is easily passed by with your attention drawn to the other more iconic sights in the harbour.",30,U.S.S. San Diego Memorial,October 2018
DanW440,One of the Memorials,This monument is one of several in the harbor area near the USS Midway and the harbor pier of the tour boats.  It's an unusual and interesting design and I enjoyed reading the messages and feeling the history that accompanies it.,30,U.S.S. San Diego Memorial,January 2019
Perkadventures,Near Midway and Tuna Harbor Park - Near N Harbor Drive,Spend the time plan to see and have fun. Easy flat walking,50,U.S.S. San Diego Memorial,March 2019
Stephanie B,Must go!!! Use the San Diego do card!! ,You have To go to the zoo and do the bus tour. Also purchase the San Diego go add. So worth it. Never had to wait in line for tickets or anything. ,50,Children's Zoo,May 2016
Charles S,America's Finest Zoo!,"This is the finest zoo in the US, and the children's zoo provides an opportunity for the children to get a better understanding of the animals and their environment.  There are opportunities to pet some animals.",50,Children's Zoo,April 2016
CupcakeTron,A must see for kids!,"This is one of my favorite zoo. It's huge and has a variety of animals with shady areas on a hot day. Our favorite is the panda exhibit! It's pricey. If you plan on going to the zoo and Lego Land, I would suggest getting the citygo card from Costco. ",50,Children's Zoo,August 2017
LilyA286,My Kids' favorite area!,"The favorite part of the zoo trip was always the Children's zoo, it's filled with so many animals that the kids can pet and feed, they have shows and classes, I highly recommend it.",50,Children's Zoo,April 2017
Nostradamus64,The kids area is closed!,"Please note for anyone hoping to see the kids area treehouse etc - it's closed awaiting rebuilding. I went about 6 weeks ago and it's definitely blocked off, including the petting zoo area. One star because they didn't notify me about this before I renewed my passes",10,Children's Zoo,May 2019
21135Traveler,Hikes of varying difficulty,"There are several hiking trails to choose from. If you want flat, this is not your place. But at least a couple of trails feature only moderate inclines. Trails lead to beautiful views of the Pacific with waves splashing just below. We snagged a parking spot at the top but most people had to park at ocean level and hike up. I've done that-- when I was younger-- and I remember thinking it was quite a hike. There is a nice though small museum near the top parking area. We go to Torrey Pines most times when we visit San Diego.",50,Torrey Pines State Natural Reserve,June 2019
jjcoffman,Lovely day to be near the coast,"After a visit to our favorite Roberto’s, it seemed like a great day to walk along the coast. Torrey Pines is always a lovely stop. ",50,Torrey Pines State Natural Reserve,August 2019
Buffalogirl41,Beautiful state Park with incredible views,"Stop at the visitors center, it is very rustic and historic and worth browsing. There are dozens of trails to pick for your adventure. You can take some shorter ones or spend hours hiking along and above the coast line. It is just beautiful and worth spending a few hours or the whole day. Not a lot of amenities available, so bring snacks, lunches, and drinks!",50,Torrey Pines State Natural Reserve,July 2019
thpanicroom,I never miss a trip here whenever I'm in SD!,"I especially love the view, each angle is just breathtaking most especially when you have sight of the sea. This is definitely a place worth going to!",50,Torrey Pines State Natural Reserve,January 2019
kelleyaelliott,beautiful,"We didn't have enough time on our trip to hike it, but you can park at the top and just take in the views!",50,Torrey Pines State Natural Reserve,August 2019
Joshb2j,A Must See in San Diego,"Answer:  it's Point Loma, and it is worth the effort to get here.  Views are absolutely stunning.  The NP entrance fee is worth it, as you can take in the tide pools below the point, tour the old lighthouse, check out the visitor center, or just stroll through the beautiful fauna and take in the absolutely majestic views.  Even my teenagers thought it was cool.  ",50,Point Loma,March 2019
MnMidwesTraveler,Must See!,"Beautiful scenic views of the pacific and the city.  The tide pools are amazing.  If you can time it to go there at high tide, do it.",50,Point Loma,March 2019
GlobalGypsy_13,Bay Walk Beckons,"If you start at the San Diego Yacht Club at Talbot St. you can walk along a public bay path (and on 2 city blocks of San Antonio) that ends at Kellogg Beach that is across the water from the tip of Shelter Island.  Along the way you can enjoy sweeping views of the bay, the near shore birds, such a the Great Blue Herons, historic markers of the first Chinese fishing spot, and more. This walk is about 20 minutes in one direction. There's 2 hour street parking available and paid lot at the other side of the SD Yacht Club (entrance on Shelter Island Drive) and here is the last stop for bus #28. The nearby ""village"" of Point Loma at Talbot and Rosecrans streets offers various place to eat as does several spots near the Shelter Is. sign and the public parking lot.",50,Point Loma,February 2019
uthmk,Very Nice Visit,This is a very nice and beautiful park to visit. A nice museum and store is available. Beautiful views of the ocean. Nice walkng paths.,40,Point Loma,March 2019
eric l,A must see for anyone coming to San Diego,A military cemetery 2nd only to Arlington. You can view the harbor overlooking the nuclear subs being serviced below and watch the military jets land and take off from the Coronado naval station. ON a lucky day you can see an aircraft carrier enter or leave port. Very close. Moving on out is a great historical park and museum. Below are tide pools that if you time it right at low tide. The kids will go crazy at all the little tide pools with marine life at hands reach. You can spend all day there and have a great time. Also the best location on the bay to watch the 4th of july fireworks.,50,Point Loma,March 2019
MichaelMTraveler007,Don't Jump,A beautiful bridge that spans San Diego to Coronado.  From under the bridge (by boat) you get to see how really big the bridge is and quite spectacular.  Always a picture-perfect view with the bridge in the background or foreground.,50,Coronado Bridge,August 2019
ElizabethDB66,Have to drive over this at least once,San Diego is a must.,40,Coronado Bridge,August 2019
BeaBi,Beautiful,"Take a cab and go, unfortunately you can not walk over the bridge. There is not bays to stop and take the picture.",50,Coronado Bridge,August 2019
Barbara F,Longest Highest Bridge,Friends visiting from Pennsylvania had never been to California. She was excited to go to The Del which was on her Lifetime List of places to visit. She had an added bonus of the Coronado Bridge. It is so high & long you get a fabulous view of all downtown San Diego & Coronado. Must visit ehen you come to San Diego.,40,Coronado Bridge,September 2019
Michael W,Huge Bridge with Great Views,We were travelling on a Old Town Trolley Tour Bus and as we approached the bridge  we were staggered by how huge it was. As we crossed the bridge the views across San Diego Bay were incredible. You can see the huge cargo ships loading & unloading at the dock-sides and warships and aircraft carriers around the bay. We really enjoyed the experience including our visit to Coronado Beach and the best thing is we got to do thice twice including our return journey.,50,Coronado Bridge,August 2019
Glenn R,Great information about a wonderful place,"The information guide, including really good map, provides all the information one needs to figure out what to do in Balboa Park.  The volunteers at the information counter are so friendly and interested in helping visitors.  If they don't know the answer to a question, they will really try to find it for you.",50,Balboa Park Visitors Center,October 2018
Ann L,Lots to see here,"Accessible by the #28 bus, otherwise lots of free parking, can get full during concerts at Humphrey's however.  I was also surprised to see that it was still available late-night; in some cities they would close a gate at 10 pm or something but here it was wide open.  No overnights allowed, they will tow.",50,Shelter Island Park Shoreline,September 2018
garharttex,"If you want a place for a nice walk on the waterfront in San Diego, this is the place.","Parking lot, and they tend to monopolize some of the areas. Some are very rundown looking.",40,Shelter Island Park Shoreline,December 2017
philangie6370,Very nice walkway,We stumbled across this place and were so happy that we did. The walkway was clean and had plenty of trash bins should you need one. There are sculptures along the way as well. The fishing pier seemed to be a crowd favorite. We sat at one point and just watched the Navy jets take off and land across the bay. There are a lot of dogs being walked here as well. We would go back.,40,Shelter Island Park Shoreline,February 2019
29kindergartencuties,Beautiful Place to Walk,"What a beautiful place to walk! We walked over from our hotel, but there is free parking near the Bali Hai. While walking we stopped and checked out America's Cup Harbor, the concrete gazebo, the fishing pier where a pelican posed for us (we came back to dinner at the cute little hot dog restaurant on the pier), then continued down to the Tunaman's Memorial, the pagoda and the mosaic fountain,  minus water, at the far end. We turned around to walk back and saw a Navy ship returning home from deployment.  We then retraced our steps and returned to our hotel. It was a lovely morning walk.",50,Shelter Island Park Shoreline,April 2019
GlobalGypsy_13,A wow walk,"If you like to walk, enjoy bay views, and explore some history, this is the place to be.  There is a wide flat sidewalk that stretches rrom the iconic Bali Hai restaurant that was the haunt of Hollywood stars to the South tip where the Harbor Police/Customs is located. Along the way you have sweeping views of the naval airbase at North Island, pass by the new public fishing pier, and stop to see markers, such as the one to Portuguese fishermen or the Japanese Friendship Bell.  If hungry or thirsty, there's a range of places to stop from the hotel restaurants to casual eateries on the water, such as Fathom or the Fuel Dock.",50,Shelter Island Park Shoreline,May 2019
GlobalGypsy_13,Great Start!,This visitors center is a great place to start your explorations of Balboa Park or to get quick directions to a specific site within the extensive park.  There is a volunteer staffed help desk.  You can buy Explorer passes at the center that also houses a small gift shop.,50,Balboa Park Visitors Center,April 2019
MonicaK614,Samantha was incredible ,"We got off the Old Town trolley at Balboa Park and proceeded to walk up to the San Diego zoo. Having just had an MRI done on my knee we stopped in at the visitor center to see if the San Diego zoo has electronic wheel transportation while at the zoo. I had heard that there was a lot of walking. Samantha went above and beyond and called the zoo to confirm that there were electronic wheelchairs, however they could not guarantee that by the time we got up there they would be any available. Therefore we decided not to go. At the visitor center though we could’ve received a five dollars discount to the entrance of the zoo since we were already paid on the Old Town trolley",50,Balboa Park Visitors Center,August 2019
permia,Beautiful former House of Hospitality,Nearby are cafes and restaurants and we availed of one for breakfast.,50,Balboa Park Visitors Center,October 2019
GlobalGypsy_13,Start Here,"At the heart of Balboa Park is a small corner building that houses the active Visitor Center.  Volunteers at the counter here can provide you with a map of the park, directions to a specific site and/or make suggestions based on your interests.  This small space is shared with a gift shop that also sells snacks.  Get a good start by stopping first at the Visitor's Center.",50,Balboa Park Visitors Center,November 2019
Upekkhapr,Lovely romantic walk by the pier and Mission Beach Board walk!,"Just walking, souvenir shopping, eating, being lazy at the beach or riding any of your favorite bike, skate boarding etc!Pacific Beach ends at the pier and Mission Beach begins! Many water sports going on also if you can stand the cold water! Check out the pictures at my Mission Beach for information on public toilets and cheap parking! We are visiting from Puerto Rico where cold weather or water don’t exist, so for us it was a walking/eating experience with a very sunny day! We got some souvenirs and enjoyed lunch by the ocean! Follow me here to find out more fun and beautiful places to visit in San Diego, Vieques, Puerto Rico, Bali, Cambodia and much more!!! If this review was helpful give me a Like for it! ",50,Pacific Beach,April 2019
lubumbashi13,Gorgeous CA coastline!,Loved this beach and getting to walk beneath the pier and see the waves crashing in. The boardwalk up top is great for an evening stroll!,50,Pacific Beach,April 2019
Misterchips666,A Happening Beach,"Stayed at Pacific Beach over Easter Weekend. It was such a fun place to be. The beach bars, boardwalk, all the great restaurants and night clubs. The sunsets are spectacular.",40,Pacific Beach,April 2019
kellywalker,Great Beach for Surfing,I enjoyed watching all the traffic on the boardwalk.  There are scooters and assisted petal bikes that you can rent from Uber or LIME.  It was a super easy process.  Just scan and go.  $1 unlocks it and its $0.15 per minute afterwards.  You can also watch tons of surfers! ,50,Pacific Beach,April 2019
eveashe,family trip,Lovely trails of differing lengths.....maps supplied but all very well marked.Amazing views of the coastline.Plenty of parking. Information about Ellen Browning and how she preserved the flora and fauna of the area for all to enjoy.,50,Ellen Browning Scripps Park,August 2017
nabeab,Beautiful park!,A lot of shadow to sit and picnic or relax!,50,Ellen Browning Scripps Park,October 2017
LostALot22,Nice park ,The best part about the park in the location. It's right on the water. There are a decent number of people. It's pretty clean. And you are right by the seals.  ,40,Ellen Browning Scripps Park,October 2017
Cathy P,Learned much about Balboa Park and its historical beginning,"Kudos to our tour guide, David!  He was the best.  As a retired architect, he gave us detailed information about the buildings and the purpose of each one.  Balboa Park came into its own via the Spanish Colonial Revival architecture of the original buildings!  You will never see Balboa Park the same after the tour.",50,Balboa Park Visitors Center,April 2017
Deonna2,So gorgeous!,"Definitely visit -  Gorgeous views, especially near the Pier.  Make sure to stay for the sunset!  Free parking nearby is also a bonus!!! ",40,Ellen Browning Scripps Park,April 2017
609maximilianh,"nice park, perfect for a pick-nic","This park is located along the paseo in La Jolla, you cannot miss it if you follow the paseo. There is nothing to see in the park, but the fact that it is located directly at the paseo makes it perfect for a little rest.",40,Ellen Browning Scripps Park,September 2017
djlasko,Salk Institute Tour,"The Salk Institute tour was one of the highlights of our recent visit to the San Diego area.  The campus is an inspiration and it was wonderful to learn more about the goals Jonas Salk had and the evolution of the design.  The tour guide was passionate, knowledgeable and entirely delightful.  The pre-tour ""Meet a Scientist"" talk was also well worth arriving early.",50,Salk Institute,May 2017
Mike M,Must See.,They are almost complete with restoration the exterior teak panels. If you are a modern architecture fan you CAN NOT miss it if you are anywhere near SD or La Jolla. Guided tour only.,50,Salk Institute,May 2017
kwosika,Amazing space!!,This building and its broad and serene courtyard that leads you visually out to the Pacific is a must see - must experience!!  Truly a masterpiece of architecture.  The guide we had was very knowledgeable and knew Jonas Salk personally!.,50,Salk Institute,May 2017
Banana63,"Unbelievable gem in La Jolla, CA!",The Salk Institute Architectural tour was a surprising delight!  The thought that went into the design and construction of this building was more forward-thinking than I've ever seen...don't miss the opportunity to see this!,50,Salk Institute,May 2017
Jeanne B,Salk Institute Architectural Tour,It was absolutely fascinating.  Our tour guide obviously loved her subject and never failed to answer our questions.  We learned not just about the architecture itself but also the history of who was involved and how it came to be.  I cannot recommend enough that locals and tourists alike take this tour.,50,Salk Institute,June 2017
L3159ODmichaelc,Peaceful,The temple is one of the prettiest temples that I have ever seen.  It was very peaceful on the grounds.  The surrounding areas seemed very safe and upscale.,50,San Diego Mormon Temple,April 2017
796shanec,Beautiful building,Went during the Christmas season and saw the beautiful lights. went on the grounds and were greeted by a friendly man who offered to take our picture. Took our picture and was very kind,50,San Diego Mormon Temple,December 2016
dennis d,Looks Like The Magic Kingdom of God,Walking these gardens is very peaceful..,50,San Diego Mormon Temple,April 2017
sunflowermary,Beautiful Building - Pretty Grounds,"A very peaceful place to visit lovely grounds. The temple is not open to non-members/general public. There are missionaries on the grounds who are more than willing to answer questions and teach you about the Mormon faith but they are also good at leaving you alone if you just wish to have a little peace and quiet. A beautiful building and architecture. A very imposing building from the freeway, especially travelling south on 5.",40,San Diego Mormon Temple,April 2017
E912HHrichardr,Triton Day 2017!,Prepare to walk! We put 9 miles in visiting this campus!,50,University of California San Diego,April 2017
61Kristin,Re-visited the campus while in at UCSD for my 20th grad school reunion,"I attended graduate school at UCSD 20 years ago and found myself back on campus last weekend for a reunion. I loved the layout and the ""feel"" of the campus way back then and I was happy to see that it hasn't lost any of its charm, in fact it has continued to improve. The breadth of individual colleges within the university is really impressive and its dedication to higher learning is so clear. It's a great place to visit if you're in La Jolla to get a sense of the impressive work that's done here.",50,University of California San Diego,June 2017
pattymooney,San Diego's Top University,"UCSD is my husband's alma mater, so we go there to a lot of Alumni functions.  These are always intellectually-stimulating events.  It's a beautiful campus, too.  Parking is always an issue, unfortunately.",50,University of California San Diego,June 2017
catherinewL2146VX,UCSD campus tour,Right if you high school girls to visit this campus. For those who arrived early a group of the college students read of fun Southern California trivia game.  Not many new the answers but it was still a fun way to pass the time and break the ice. The tour began with a video and then an admissions counselor spoke for a few minutes before dividing us into smaller groups led by individual UCSD students.  Our guide was very knowledgeable and outgoing. He was very considerate of everyone in our group and gave a great tour. We were very impressed by the campus and all the fun and interesting information that he shared with us.,40,University of California San Diego,June 2017
LIKEITIS1000,Unlawful parking citations,"We went there for a campus tour.  Everyone must park at the parking structure.  There are no parking anywhere. We paid for 3 hours parking ($8) to give us enough time to get back to our car after the tour.  We didn't have time to grab a bite to eat on campus after the tour ended because we had to run back to our car before the 3 hours are up.  We are conscientious about thing like that.  The varieties of foods there on campus looks so good but didn't have the time to sit down and try them.  We got back to our car on time and found a citation for $65 for no parking permit.  It was issued half an hour before our permit expired.  We put our permit in clear view in front of the window shield.  We couldn't find anyone to ask why.  We didn't know what we did wrong.  It's our first time visiting the campus and in San Diego.  Our first impression of San Diego is that it's very strict.  We've visited other universities in CA, and UCSD is the only one that give us problems. We wasted so much time looking for someone to talk to about the citation.  We found someone outside and pointed us to the the parking office, but the line was so long, filled with students applying for permit.  There was a repeal box filled with papers, so we added our to the pile.  It got us all worked up and upset because we are law abiding people.  It was just a waste  of our time trying to track someone down.   We parked in a visitor parking.  There wasn't any sign that say we can't park there.  Our whole time there in San Diego, all we could think of is the citation.  UCSD needs to retrain its people who issues all those unlawful citations to visitors.  Because of this incident, we'll be thinking twice about sending our child there.",40,University of California San Diego,July 2017
123Well-traveled1234,Lovely wide white beach and fun boardwalk,"walking, biking, skating, and watching the sunset",50,Mission Beach,February 2019
MisterTNorway,Surf's Up,"The waves here were also perfect for us Norwegian surf ""noobs"" so you defintely need to bring a surfboard.",50,Mission Beach,July 2018
lubumbashi13,Lovely,Not quite as beautiful as Pacific Beach or those in La Jolla. Nice boardwalk to walk/run/ride bikes and people watch. I recommend renting bikes and taking a ride here! ,40,Mission Beach,April 2019
california_usa2020_,Fantastic,"We love this place and cannot recommend highly enough, how can you not love it!",50,Mission Beach,September 2018
C H,Scooter the entire boardwalk,"Had the most amazing time renting Lime scooters and touring all up and down the mission beach area and boardwalk. Stopping for lunch and watching the other people enjoying the walk, biking trails and the beaches. Super chill mood...cocktails on the beach baby!!",50,Mission Beach,November 2018
Michael W,Great Exhibits of San Diego's Historic Past,We came across San Diego's Old Town accidentally whilst trying to find the Trolley Tours Bus. We thoroughly enjoyed the visit and experience here. There are some brilliant exhibits throughout the Old Town including craftspeople working on leather belts and making clothing. The place is quite large with plenty of things to do and see here. There are also outlets selling food and drink and several gift shops.,50,Old Town San Diego State Historic Park,August 2019
823JamesA,Lovely ,"A real gem, we spent a couple of hours here enjoying the shops and the revived buildings. We were there on Sunday and had a live band and music. The restaurants were very busy. Well worth the couple of hours very glad we went ",50,Old Town San Diego State Historic Park,September 2019
Sara B,Neat place,"We actually came here twice, one to look around and shop (we actually came for the rootbeer and jerky shop) and then back again to eat dinner on a different night.  Very neat place, lots of places to look in and shop.",50,Old Town San Diego State Historic Park,August 2019
jamesv8,Historic California site,"San Diego then vs now is quite different, is it the new LA? yes, in a better way.",50,Old Town San Diego State Historic Park,October 2018
wmatthe125,good way to spend an afternoon,"There's a lot to see and do here. if you're on a workation, most of the historical stuff will be closed when you get out of your meetings. But, there's plenty to see and do and lots of food and shopping here, so it is worth the trip.",50,Old Town San Diego State Historic Park,August 2019
dcdrj2,Nice Shoipping areas with Many Restaurants,Good ad On to La Jolla Cove. A good hike about 1.5 miles or real quick drive.  great to grab a bite and shop some of the unique stores,40,Girard Avenue and Prospect Street,January 2017
Yvonne P,San Diego & area 2017,Very nice shopping area! The locals call it their Rodeo Drive & the shops r on the high end! So it was a good day for window shopping! Found a cute dog boutique & bought a couple of collars for my fur babies! ,40,Girard Avenue and Prospect Street,January 2017
teresas330,Boutique chain stores not a lot special,"I was disappointed.  I was expecting some nice  local stores but found too many chain stores (Black/White, Fresh Produce) which I can shop at near home.  I was looking for more of a vacation feel.  I did love the restaurants on Prospect as they had great views.",30,Girard Avenue and Prospect Street,February 2017
Barbara S,Nice stroll,"Girard Avenue ist downtown La Jolla, in walking distance to La Jolla Cove and some hotels. I like the fact that the street still has a village flair with low buildings. There are all sorts of shops and restaurants, many of them high end. My favorite place is the book store.",40,Girard Avenue and Prospect Street,February 2017
MandiL292,Beautiful views and stair stepping dirt trail ,"It may seem daunting, but if I can do it anyone can. Awesome views and you can see birds and hang gliders above. Park near the hang gliders and walk forward to the left. Thats where the trail starts. Down then up the mountain. Wear sneakers. ",50,Ho Chi Minh Trail,November 2015
icefisher44,Fun adventure!,"Hiking this trail is not the easiest hike around, but it is a lot of fun.  On the more difficult sections, if you were to fall, you would probably not DIE but you would get injured.  We were a little nervous but that added to the fun.  We hiked down near sunset, and the view was spectacular.  Part of the adventure is finding the trail head, and it's really fun to see the amazing houses in the La jolla farms area.  Once you hit the beach, you can either hike back out the same way, walk to the north, where there is a nude beach and another trail, or walk to the south and walk out on a road maintained by UC San Diego.  It is a really awesome hike, very unique.  ",50,Ho Chi Minh Trail,January 2016
Susan C,Want a challenging cardio workout? Hike the trail and end up on an exclusive beach,"I did not know the name of this trail but my girlfriend and I walked down it on a whim! Wow what a workout! Coming up is even more challenging! I do not recommend doing this in the San Diego rainy season, but you end up on the famous Black's Beach, where people ""want to be alone to sunbath in the buff.",50,Ho Chi Minh Trail,November 2015
MMGLA,"It's not easy, but it's so fun!","Also, I somehow ended up with two addresses.  The first one took me to the wrong place.  I don't know where I even found that address!  If you're in a huge parking lot (like I was), that's another (less challenging) trail that will take you down to Black's Beach.  If you're in a residential area filled with mansions, you've found the right spot!",50,Ho Chi Minh Trail,February 2016
Rebecca C,WOW!  SCAREY! FUN! HARD TO FIND,Beware Black Beach is a nude beach so not a good port of entry to the trail if you are hiking with teens/,50,Ho Chi Minh Trail,March 2016
Suzyq76bella,Beautiful Shells-must go at low tide!,"Beautiful beach, great tide pooling, but at low tide only! Pretty easy to access, but the waves cover up all the good stuff at high tide!",40,Shell Beach Tide Pools,August 2015
U1501KSsarahl,Fun beach! ,"We came here to play in the waves, and were excited to find little tide pools with crabs and other sea animals in them! The beach and water have lots of seaweed, hard to find a clean spot to play in. Watch out for the seagulls, they ate a full bag of chips and stole someone's wallet, not to mention all the single flip flops scattered around. Keep your stuff covered! ",40,Shell Beach Tide Pools,July 2016
Shubbie a,Great place to visit on a hot day,Fun place to walk and see all the creatures. Never fails to disappoint. The steps to get down there may be a bit treacherous for older folks.,50,Shell Beach Tide Pools,August 2016
