review,travel_date,rating,place,usr_code,title
"I came by with my family for the H Street festival.  Crazy crowds and lots of good food to try.  Lots of great bars and restaurants everywhere...  Street car tracks seem to be ready but no car in sight.  There are still pockets along H Street that needs to be improved, but overall H Street is slowly growing to be a hip place for young professional looking for a place to dine and imbibe.",September 2015,40,H Street (Atlas District),yeulife,Up and coming....
I had my hostel n this street. It is near most things. In fact i walked to everything from my hostel (Union Station and The Mall and all). Everything closes down very early. I remember walking around 8 pm and most of shops were closed and it was deserted. ,November 2014,30,H Street (Atlas District),AqeelMaqbool,"Like Most DC, It Sleeps Early!"
"We didn't go into the actual Academy, but the statue of Einstein on the Constitution Ave. side is definitely worth a visit!  It's quite large, and invites folks to climb upon it.  Great photo opportunity....especially with kids!",July 2012,50,National Academy of Sciences,KLPCLT,Worth a visit to the outdoor Einstein statue
"This review is for the monument in front of the NAS building. It is easily my favorite DC monument.  It is a large sculpture of Albert.  If you stand in a certain place and look at him, then talk, it reverberates back to your ears, sounding like an echo.  Nowhere does it describe this, but it is awesome.",July 2012,50,National Academy of Sciences,RayR2015-n,Einstein Monument in front of NAS
"They travel in packs and arrive in DC on Memorial Day weekend from all directions on bright, shiny Harleys.  Some go up I-81 and across I-66 heading towards the National Mall and venturing out to gathering places and watering holes around town.  They remember colleagues lost in wars past, especially Vietnam.  They give us all pause to  stop, remember and to pay tribute.  ""You're a grand old flag . . . and forever in peace may you wave."" (George M. Cohan)",May 2016,40,Rolling Thunder Run,waterandmore,"Roar, roar and tip your hat"
"The C&O Canal is part of the historic tobacco transportation canal to transport tobacco from western Maryland to the Potomac River. The segment of the canal in Georgetown was revised to show how to get a boat to the river using the canal locks. The path that is now used for walking was used to pull the boat along the canal. The path and the canal is known locally as the ""Towpath"". Visitors can walk along the canal from the bottom of Georgetown near the river to near Key Bridge. Great place for afternoon stroll and get some afternoon drinks along the way.",August 2016,40,C & O Canal,Prawet J,Historic canal for recreation
A visit into the life of a great woman who was ahead of her time - a building lost in time and almost demolished - work discovered in an attic gives the visitor the look into how many soldiers were identified and families notified of Civil War casualties. Hand reproduced wallpaper from what was left on the walls - period furnishings - and great guides to this wonderful look into the woman who began the American Red Cross. Not part of the Smithsonian - but more than well worth the $9.50 fee.,July 2016,50,Clara Barton's Missing Soldiers Office Museum,NanaM0219,All history buffs and burses shoud see this museum
This museum displays in depth Clara Barton's activities following the Civil War to try to bring compassion to an awful period in American history.  Our docent was excellent.  Note the Museum has limited hours.,August 2016,50,Clara Barton's Missing Soldiers Office Museum,swj,Very interesting museum with excellent docent
We were treated to a personal tour which was fascinating . Also a short film about how the offices were found and the Restoration and conservation programme .  A great piece of history .  Point of interest :There is only a tiny portrait of her in the civil war section of the national portrait gallery - which is a shame for a woman who achieved so much .,August 2016,50,Clara Barton's Missing Soldiers Office Museum,cariBrighton,A lovely and interesting place 
"Recently completed a work trip to DC and was staying in the Navy Yard. On my last day there I found this location. Wish I had known the entire trip. They had some good wines, very nice service, and a great venue/location. Bought a bottle of zin reserve and really enjoyed it upon return home.  If you are staying in the Navy Yard this place should be on your list to visit alone or with a big work group.",June 2018,40,District Winery,SanClemenRAM,Nice Escape
"I've been going to D.C. for 30 years, and never found this gem on the mall until recently.  Enter the U.S. Dept of Agriculture from the Mall side.  It's near the Holocaust Museum and the U.S. Forest Service, just a block away from the Smithsonian castle.  Although you must pass through security, the cafeteria is amazing and offers healthy and full lunch options.  I had no idea!  We saw the advertisement on a trash can outside of the building after walking for 30 minutes and realizing we were no where near food!",December 2015,50,United States Department of Agriculture,Lynne M,Best lunch option on the Mall
I would defintely go again. I wonder what i will try next. Hmmmm,July 2018,40,District Winery,plmartin22,Birthday Lunch
"I was there for the annual H street fest and nothing can beat that experience. The options they hold fofr Bars & food is definitly unmatched. This can be easily called as DCs own Hell's Kitchen. Shawafel is a good on the way snack stop & when you are ready for a full course, any of them can be chosen. If weather is good, try out the ones with roof top bars...",September 2012,40,H Street (Atlas District),Roots2Wings,H St Rocks!
"Many, many fun, quirky bars and restaurants have opened here in the past decade, turning this once decaying eyesore into one of the most delightful places to spending a night on the town in the Washington area. Not just for young people, but they are its chief patrons; although we saw one of the ""Supremes"" dining there one night recently.",February 2013,50,H Street (Atlas District),jrpdc,"The ""happening place"" in DC"
As you would expect from National Geographic very interesting. At the time I was there the main exhibition was on Pirates.,August 2014,40,National Geographic Society's Explorer Hall,lesw31,Interesting
It is a while since we visited but we enjoyed the photographic displays and the explorers' hall. The display of every magazine cover published is eye-catching too and puts the wealth of information published over the years into perspective. As an avid reader of the magazine for decades this was a must visit however some folk may be content with the Smithsonian museums. Because this centre is small though you will not leave with a feeling of information overload. Note - we found the general temperature hot to oppressive - maybe that has improved?,February 2014,40,National Geographic Society's Explorer Hall,LAR60,Interesting
After seeing all the great Smithsonian Museums for free this payment required museum is a complete ripoff. Two very small exhibits which if you dawdled might take you 20 minutes to view and you are out $12 with nothing else to see. National Geographic should be embarrassed to charge for this. ,February 2015,10,National Geographic Society's Explorer Hall,SharonJ685,Avoid at all costs
Good for those why like nature and byke trips. I took a brief look and moved on. But I came to see the city and this truly historical part of it could not be avoided.,August 2015,30,C & O Canal,MariaNogilova,Nice and tiny
"Sadly the National Park Service does a poor job of maintaining the actual trail. Very rutty and filled with potholes. If it has rained in the past few days, the potholes are full of water and mud. It makes the riding slow and uncomfortable. After coming off the Great Allegany, this was a disappointment. You spend so much time looking for hazards on the trail that you loose the beauty of the ride. I understand the debate as to keeping the towpath as natural as possible, but for us Baby Boomers (mostly who we saw on the trail) safety of a smoother trail is most important. ",September 2015,30,C & O Canal,getawaycraig,Bike Ride From Cumberland to DC
"We stumbled upon this museum on accident on our way to Starbucks.  As a nurse and a history buff this was perfect for me, its a small museum with lots of charm and a friendly amazing staff.  The building itself was recently discovered and almost lost to development.  The first floor houses a little gift shop and has a historical timeline of civil war DC, and has a video you can watch.  The second floor has a private business that rents the floor, then you take the steep stairs up to the third floor to where Clara Barton lived and ran the missing soldiers office (which is how the building would have been used back in the 1860's).  They have artifacts of Clara's on display there.  The building has been restored and almost feels like you're walking back into the 1860's.  We had a private tour (due to the lack of visitors to the museum), and our guide was adorable.  She was very knowledgeable, well spoken, and gave us a chance to explore the other rooms of the house.  It was a quick tour, about 30 minutes.  I recommend a visit to this house for any nurse, civil war lover, or history buff!!",July 2015,40,Clara Barton's Missing Soldiers Office Museum,Genna T,Well
To think that this place survived as a virtual time capsule is amazing.  The work Barton did here was so vitally important to the way relief work is done today.  To actually stand in this office and feel her presence is worth a special trip!!,July 2015,50,Clara Barton's Missing Soldiers Office Museum,George W,Outstanding!
"Was lucky enough to your this bit of hidden history while visiting Washington for an American Red Cross employee meeting. Even those of us fairly familiar with Clara Barton's story learned something at this museum. The quarters were nearly torn down, and only renovated in the 1990's. Inside, you will see the rather humble residence that served as Clara's base of operations after ""the angel of the battlefield"" continued her work begun during the Civil War. You will get some sense of the dedication Barton brought to her mission of mercy. An interesting site, worth a visit when you are in Washington, D.C..",October 2015,50,Clara Barton's Missing Soldiers Office Museum,MiriamI632,A Hidden Gem for History Buffs
"The cafeteria at the Us Department of Agriculture is open to the public and is a great place to eat when visiting attractions on this end of the Mall.  Simply enter as a visitor at ""Wing 3"" (they are posted) and the guards will direct you.  Very close to the BEP and the Holocaust Museum.",July 2015,50,United States Department of Agriculture,Chad L,Great place to eat lunch when visiting museums!
"This place is hard to find since there seem to be a dozen Depart of Ag Buildings, each a full city block.  Go to the corner of 12th and C just off the National Mall and look for an entry marked Wing 2.  You'll need picture ID and will go through a security checkpoint.  Wander down a hall to find a fabulous cafeteria that nobody knows about.  They have a huge variety of hot foods, fruits, salads and deserts to choose from.  Some are prepriced but mostly you load up a plate and they charge you by weight.  I got a scoop of about 6-7 different entrees for about 8 bucks.  I wish I'd found this sooner.  We'd have saved a lot of money over the prices we paid at other downtown eateries.  Better quality food than your average buffet style restaurant.  It's only open weekdays at lunchtime but they discount everything towards the end of their business hours - maybe at 2:30?  ",May 2015,40,United States Department of Agriculture,Patti S,Secret cafeteria
"We were looking for a place to eat and someone recommended this cafeteria.  It was a great place to eat!  When you first walked in, you had to show picture ID.  The lady that signed us in was so nice!  The cafeteria - (enter at Wing 2) was great! There was a huge selection for lunch--sandwiches, salad bar, soups, and a variety hot foods.  There were plenty of tables to sit at too!  Plus it was moderately priced.  It was a great reasonably priced lunch!!",February 2015,50,United States Department of Agriculture,Ltencza,Excellent cafeteria for lunch
"Quite a selection for lunch--sandwiches, buffet salad and buffet hot foods--and plenty of tables to eat at.  Moderately priced.  For the cafeteria, enter at Wing 2, show your picture ID, and security checks your bags--and off you go....bathrooms on the right.",April 2015,40,United States Department of Agriculture,PanamaMLE,Stepped in for lunch in their cafeteria
"Had just visited the Holocaust Museum and someone suggested we grab a bite to eat at the USDA cafeteria. Great choice.  It does require going through security to get in. Three of us, two starving teenagers included, ate well for $24. Salad, entree, drink. Salad and hot bar were great. Daughter had sushi. Son just had lots! Eat here. Great value.",June 2015,40,United States Department of Agriculture,697melissan,Great Reasonably Priced Cafeteria
"Nicely restored museum in Penn Quarter DC, with a fascinating backstory of how the office was preserved & rediscovered. If you are interested in the Civil War, urban architecture, or the Red Cross, consider stopping in if you are the neighborhood!",October 2015,40,Clara Barton's Missing Soldiers Office Museum,Manningjen,Hidden gem for Civil War buffs and Red Cross fans
"We went to see the Titanic Exhibit and also went into the samauri exhibit (the ticket allowed both).  Keep in mind that the exhibit halls house rotating exhibits and change often.  The Titanic exhibit was interesting - I particularly liked the Robert Ballard video clip that talked about why he got into oceanography and how he found the titanic.  Did you know his real mission on behalf of the navy was to find two sunken cold war subs?  The Titanic operation was a cover story to fool the russians - but it was what he was really most interested in.  The artifacts were props from the titanic movie.  I have seen a better Titanic exhibit when actual artifacts were on display in Boston many years ago now, but this was a perfect size to introduce the topic to my 9 year old daughter.  I understand the exhibit is extended until Sept 2012.",April 2012,40,National Geographic Society's Explorer Hall,historybluff,Not so titanic
"Well worth the time and my reluctant kids thought that it was ""cool""",September 2012,40,National Geographic Society's Explorer Hall,massam3,Interesting for all ages
This is the first long distance bike tour my husband and I ever rode.  The trail itself is well laid out and very easy to ride.  A mountain bike or touring bike with wider tires is ideal.  There are many campsites and bed and breakfast establishments easily accessible from the trail.  The whole ride was very scenic and serene.  We would do it again in a heartbeat!,June 2014,50,C & O Canal,Canyonwren2,Fun Beautiful bike tour
"I'm a big history lover, and the history of this canal is very historical! You can bike along it if you're fit and adventurous, or just walk and read the markers about the history if you prefer. ",June 2014,40,C & O Canal,QuickWhitTravel,"Nice trail, very scenic"
Walking around a little after having a great dinner on M. We walked down towards the Potomac and the canal was very dirty looking. I hope it was just bad timing. Beside the Potomac River had a lot of debris out there as well.,March 2015,10,C & O Canal,imodelrr,"Not so great looking canal, dirty and nasty!"
"My wife and daughter love to shop and Georgetown is great. However, I can only shop so long before I get very bored.  If your family is like this, the C & O is a great opportunity for the restless to stretch your legs while others shop. Georgetown is the end of the Potomac tidewater and just up stream are a set of rapids. This canal was cut to for freight to by pass the rapids. It is also was a great example of Ruben renewal from industrial port to retail. The walk while great exercise also provides and historic touch. While walking you get the sense of what 19th century commerce in Georgetown was like, while also getting out of the shops and a chance to explore.",April 2014,50,C & O Canal,Grover R,Something to do while others shop
A walk along the Canal is a nice respite from the busy main street of Georgetown.  It is very scenic even in early spring and has an interesting lock system.,April 2015,40,C & O Canal,Anne M,Nice tranquil walk
"This place is very educating with so much fun for the whole family. Our kids (14, 12) had so much fun with the birds, they not even knew, birds like this exist. In the gift shop they have some pretty nice Amber-jewlery. cost $8 Adults and 4 kids. (Students and Military discount.)",December 2012,50,National Geographic Society's Explorer Hall,Maren Z,family fun
"I spent a couple of hours here with my 3 children (12 & 10x2) and they loved the 1001 inventions especially, so much so that after we'd done the Birds of Paradise and the photo exhibits they wanted to go back to try more of the interactive activities rather than try the Natural History Museum.",December 2012,50,National Geographic Society's Explorer Hall,PeterR632,Interactive fun
"If you like to visit museums without feeling pushed through by visiting hordes of tourists, you should consider this spot.  We visited the Peruvian Gold exhibit recently and could appreciate it with a moderate number of other visitors.  It was heartwarming to see parents and young children able to enjoy and appreciate the wonders of exotic locales right here at home.  The standing exhibit touting the history of the National Geographic Society and its work from its founding in the 1890's until today was also interesting, underlining just how much the acquisition of knowledge of the world is thanks to the NGS tireless efforts over the years.  The gift shop is a great adventure, too!",July 2014,40,National Geographic Society's Explorer Hall,Suzu T,"Always interesting, always a little different from the Mall Museums"
"I didn't know anything about the Missing Soldiers office until September.  I had to get back to see this.  It is the only place we visited this trip that wasn't free, but it was worth it.",November 2015,50,Clara Barton's Missing Soldiers Office Museum,Karen V,Must see
"Great cafeteria, but be prepare to go through security.  Neat old posters on the wall will take you back.",May 2014,50,United States Department of Agriculture,199shelias,Great cafeteria.
All you need to get into the building is a photo ID and patience.,January 2014,40,United States Department of Agriculture,Jim C,USDA Cafeteria is the real attraction
In the future this will take the guesswork out of where to eat when we are around the National Mall!,May 2014,50,United States Department of Agriculture,Barbara S,A place to eat while in DC (near the National Mall)
There is a food court in the USDA building and it is open to the public. The entrance is on the back side of the USDA building just past the entrance for the holocaust museum almost near the entrance of the Bureau of Printing and Engraving. The entrance for this is at the corner of 12th and C street look for Wing 2. There should be small red signs on the door that say Visitors Entrance. The security guards are really friendly so if you need help just stop by and ask them. They'll point you to the right entrance. You will need a photo ID: i:e drivers license but it's worth the wait. The food is really good and it's much cheaper than hardly anything you'll find in the area. My friend and I ate for $15. Top notch food court.,May 2014,50,United States Department of Agriculture,TheDavidB,Food court is excellent
Right across from Holocaust Memorial museum.  Be prepared for security measures but easy entry and the food is stellar. Large selection and very reasonable.  ,May 2014,50,United States Department of Agriculture,91tamekah,Awesome food court 
This historic canal is beautiful and a fun outing from all the monuments in DC. We rented bikes and rode for 15 miles to beyond the Great Falls which were stunning. We turned around at a park visitor center which had canal boat rides and food available. The locks and the old canal houses were interesting and we saw turtles and birds along the trail.The trail is dirt and is a good track but would probably not be much fun in the rain. We rented bikes at Thompson Boat Center in Georgetown at the start of the trail and I would not recommend them. There are probably better places nearby to rent bikes.,April 2014,50,C & O Canal,sofiegsd,Fun day
"This  C & O was built as a result a vision to connect inland waterways with the Atlantic Ocean. It stretches from Western Maryland to Georgetown with a delightful historical discovery at every point along the way. The locks are fascinating in their attempt to move water to different levels to provide safe passage to boats on their way south. Lock 8 at River Center has boats for rent down along the Potomac throughout the spring, summer and fall. A path borders the canal to allow bikers, walkers and joggers easy passage either north or south. One trip north from Washington takes you to the Great Fall National Park for a magnificent view of the swirling Potomac River on its way to the Chesapeake. Good weather is a must because of the dirt trail.",May 2014,50,C & O Canal,jeffl499,A Must when Visiting Washington
"This gem is accessible from several places in Virginia, Maryland and DC.  The locks are fascinating, and the footpath is patrolled so that women alone feel safe (during the day).  Since the path is flat, those of us with canes find it easy for walking.  Cyclists and joggers love it too.  So green!  Turtles, dragonflies, history!",June 2014,50,C & O Canal,Kathyindenver,Pleasant respite from the city
"Interesting to step back in time and travel the canal by barge and mule.  Would never have stumbled upon it, you must know where you are going.  (It's in Georgetown).  Kind of slow but the history is interesting,",September 2013,30,C & O Canal,DebbieMorse,I've got a mule. . .
Bike and Roll gives you great maps to show the trials.  We did the trip with our 9 year old.  It is all day event -- very beautiful path along the Potomac River / C&O canal.  One of our favorite biking trials. Temperature was in the high 90's so getting something to drink at Fletcher and along the way was very helpful.  I normally bring two of those backpacks that you can roll up into your pocket to quickly hold items / water along the way.  A beautiful way to see the town.,July 2014,50,C & O Canal,ArizonaAZ1,Great Biking Path along the C&O
A cool place to visit with loads of history. Take a bottle of water or two with you when you go. Expect to carry your trash out of the park with you when you go. Definitely spend a few bucks to take the boat ride down the canal. It is great. ,September 2015,50,C & O Canal,JessicaP108,Really neat!
"I didn't pay for the museum since I'd already seen an ""Animal Grossology"" exhibit some years ago. I thought about buying in the gift shop - but fought off the temptation",October 2011,40,National Geographic Society's Explorer Hall,Sugarsgirl,Stunning photography - bigger than magazine size
"Treat yourself to a D.C. Break!  A complete change from the monuments, museums and the visiting masses.  Take a morning or afternoon to shop along M Street in Georgetown's M Street after a stroll along the Chesapeake and Ohio Canal towpath.  There are many shops and restaurants to accommodate you.  Have a relaxing dinner in the neighbourhood, then return to rampant tourism!",July 2015,50,C & O Canal,etweeden,Perfect Change of Pace!
Enjoy!,October 2015,40,C & O Canal,LolaGo1,SHORT ONE OR LONG ONE?
"A friend of mine used to work here, and while she was visiting in town, she showed me this exhibit hall. Be sure to allot time to really look at these fantastic photographs in detail. I recommend at least an hour visit!",June 2015,40,National Geographic Society's Explorer Hall,QuickWhitTravel,Famous photographs
We look forward to more NG adventures. ,June 2015,50,National Geographic Society's Explorer Hall,buzwanderer,Awesome trip to the Arctic 
this is an area rapidly gentrifying and we've tried some restaurants (some good and some bad) and find our experience uneven. Always found parking though!,April 2013,30,H Street (Atlas District),TolerantTraveler,uneven quality but worth exploring
I didn't rate this highly because visitors to Washington with limited time can find more interesting places to spend their time. This corridor is up-and-coming with some interesting places for eating and entertainment. Worth a look for repeat visitors to Washington who want to get a glimpse of an older Washington neighborhood's revival.,May 2012,30,H Street (Atlas District),Eclipsegroupie,Don't Go out of your Way
"This street is nice and when the trolleys get here, which should be 2014, it will gentrify even faster. There are a few nice restaurants in the area like Toki, Granville Moore's, atlas room... But come early, and don't stay late.",September 2013,20,H Street (Atlas District),HelenaGuerra,This area is changing fast but it still needs some time
"The path is so rough, it jolted me into a headache and made me nauseous as well.  Beautiful scenery but hard on the body!",April 2012,10,C & O Canal,PatsyD459,Not a good bike ride
"Best on a brisk day in spring or fall, the canal path is a marvel unique to the DC area.  Beginning in Georgetown and spanning nearly 100 miles or more, it assumes slightly different characters in different areas: scenic views of the Potomac give way to wooded stretches with/without shade; you pass the occasional lock from the old canal (often at an access point which you can drive to), then, for miles, it's just you, the path, and the passersby; families, couples, people walking their dogs....all on parade.  On a nice day, when it's just good to be outside and in the air, what could be better?",April 2012,50,C & O Canal,jaseaton,"Miles of mostly level, mostly wooded path for biking, walking"
"We rode from Boston to DC 9/9 to 9/14.. We had great weather and the trail was in pretty good shape. The C and O is a lot rougher than the GAP. We were really excited to get to the end as we had taken some great photos at various stops along the way and we thought the end of the trail would be pretty well marked as it is a rather important part of the trail. We did not stop at the Visitor Center in Gtown. A big mistake but instead had to ask several people where to find the end. We were very surprised to see Mile Marker 0behind the Dumpster at the Thompson Boat works. Lesson learned. ""Do your homework before you go.""",September 2012,50,C & O Canal,FoodJudgePittsburgh,Disappointing end to a great ride.
"I run 5 miles beginning in Georgetown. The path is beautiful, but its so narrow and irregular with a lot of little stones. I didn't want to continue so I don't know how is the rest. This part was not comfortable at all.",September 2012,30,C & O Canal,Viajeroconbuengusto,Beautiful but narrow
Best part was watching the window cleaners hanging from ropes on the building next door. ,September 2017,30,L'Enfant Plaza,EFW2014,Construction! 
"Sure there are a few shops here... but it's primarily a metro and train stop.  Food trucks outside and business offices.  Hardly ""a thing to do"" in DC.  ",September 2017,20,L'Enfant Plaza,USMEagleFan,How is this a thing to do?????
"I visited L'Enfant Plaza few months ago on weekend and was not impressed with it at all because there was no life.  I decided to visit again this week.  To my surprise, the place is lively with many food and restaurants.  There are also a few clothing shops with some brand names.  The place is popular because it is situated in between so many government office buildings.  Looking for place to have lunch around here, this is the place.  Or step out on Maryland Avenue side and you will find 10s of food carts.  Have to admit, good place to be during the week, not weekend.",October 2017,30,L'Enfant Plaza,Prawet J,Lively Mall on work days
Long live the food court! ,October 2017,40,L'Enfant Plaza,AmandaW589,Busy food court
This is a nice place to stop to eat or shop. We took the metro to the L'Enfant Plaza stop. It was cold the day we visited so eating inside at one of the restaurants was great. It’s not very big but a good place to have lunch indoors. They also have the hop on hop off tours located here.,November 2017,30,L'Enfant Plaza,deebug2470,good place for shopping or eating
"This is not a tourist site like everything else on the Mall. It is,  however, a great lunch option! The entrance is on Independence at Wing 3 of the south building. Show ID and go through metal detectors. Plenty of choices like Asian food, pasta, and comfort foods (baked mac & cheese, sweet potatoes) along with a ton of fruits, veggies and a salad bar. You pay by the pound (just over $7 per) so it's a great deal compared to other lunch places. And the cafeteria is pleasant and clean. There's no visitor center but who cares? Go for the food.",January 2016,40,United States Department of Agriculture,minnesotamichele,Go for the cafeteria!
There’s not much to see but you don’t stop here to see anything; you stop here to eat. My wife even enjoyed the Asian section and I ate some comfort food. It was delicious and priced just right. It beats the $3dollar hot dogs from the carts outside.,December 2015,40,United States Department of Agriculture,Daniel A,Lunch done right
We stumbled upon this place as we looked for a lunch spot that would please everyone in our family.  This is a well hidden and unadvertised gem.  Adults must show a Driver License or picture ID when going through security.  The cafeteria has the highest quality and most diverse selection of items I have ever seen.  Many of the items are self serve and you can find any type of food imaginable here.  This place will please everyone in your sightseeing party and is very reasonably priced.  You pay by the ounce for most items.  We liked it so much we visited two times during our five days in D.C.,October 2015,50,United States Department of Agriculture,minniemouse68,Family Lunch on the Mall
"They have hot and cold food lines, similar to a Whole Foods cafe, but quite a bit less expensive.  If there was a visitor center or exhibits I did not see them.  I wouldn't mind learning a bit about our current farm policies.",March 2016,40,United States Department of Agriculture,Traveling_Sandy,Visit for the cafe
An amazing story on the finding of this museum.  The tour guide was knowledgeable and passionate about his job. It would be nice to see more or the documents on display.,November 2016,50,Clara Barton's Missing Soldiers Office Museum,ReGina G,Great history lesson
"A well-restored, fascinating space with high-level tour guide to explain what we are looking at and the context within which it existed.  The tour starts with a brief film to set the story and then you walk up the restored staircase (or take a new-er elevator) to the third floor which was only recently re-discovered and in a well-preserved state.  They have artifacts on display as well as poster boards and other sources of information.  The best part was the tour guide, who made it all come to life.  I spent a little over an hour on the whole thing and was given time to wander at my leisure after.  It would have been nice to have more displays and perhaps have at least part of the space arranged as it would have been while in use, but I understand that there are funding restrictions and historical accuracy is important.  Overall a very excellent afternoon and I highly recommend it!",August 2016,40,Clara Barton's Missing Soldiers Office Museum,msdebra007,Excellent--an afternoon well-spent!
Went based on recommendations and was surprised that most areas had no water and had debris/trash. Enjoyed the area nonetheless bc of the history of the buildings and area. It was a good walk and that was my main goal. Don't expect anything more than a dried up canal (at least this was what it was the time of year we went),October 2016,40,C & O Canal,TikiDreams,Not much Water
"If u grab your bike and follow the path along the C&O and are reasonable shape on a bike you can reach Pittsburgh in 51/2 days .. the canal ride I've done three times and is perhaps one of the most rewarding bike adventures anywhere . Unbelievable you can start right from Georgetown ... there are books supporting literature for the c&o tow path and allegheny passage - a gem rail trail on Pennsylvania side ... start with short rides in Georgetown .. try whites ferry , historical harpers ferry .. accommodation and camping near the trail in 20-30 mile ""segments"" ... go for it !! ",April 2016,50,C & O Canal,css_voyage,"Bike trail of the Gods... Bike to harpers ferry, Cumberland and pittsburgh"
Although most people grab a bike and ride it I prefer the quite and solitude of walking it.  You can enter at Georgetown or further up in DC towards Maryland.,September 2016,40,C & O Canal,Brellie,Beautiful and quite
"Had not read reviews on the Plaza and were quite surprised by the size of it and all that was offered. It did seem to have renovation going on in some areas but never having been here before and not knowing much about it we thought it was an interesting place to be, especially since we had to go through there anyway. Why not try to enjoy where you are? ",December 2016,40,L'Enfant Plaza,a1z2j345,Unexpected 
The statute is nice but this really just a very busy Metro stop with buildings all around it. I would not make go out of my way to visit.,December 2016,30,L'Enfant Plaza,Brellie,Nice statute
"This is a busy and centralized Metro stop more than anything else. There are a few shops and a couple of food choices, but it seems pretty mundane overall. Unless this is a Metro changing or departing point, its probably not worth a special visit.",January 2017,20,L'Enfant Plaza,DM_1278,"Metro and a few shops, nothing great"
"For $1.25 to 2.50 per trip plus a one time cost of$2.00 for your card, I was able to travel from my hotel on C street via L'Enfant Plaza to Union Station for lunch to the memorials to the museum. The metro stop was clean and the workers very friendly.",March 2017,40,L'Enfant Plaza,attyjpm,"Metro is clean, close, and cheap"
Metro accessible to visit other areas of the city. ,May 2017,40,L'Enfant Plaza,venusd2017,L'Enfant Plaza
"Historic National Park running from Cumberland MD to lower Georgetown, DC.  Wide, level path, excellent for day hikes in the area.  Water and rest rooms at Fletchers Cove. Excellent for weekday walk into Georgetown for meal or coffee and back to car along the canal.  Many options for parking.  Wonderful views of the Potomac.  Wonderful to see the seasons change.  I walk there often.",March 2017,50,C & O Canal,Martha W,Nature in the City
"With so many free exhibits (or tax-payer funded exhibits), I found this one to be a little disappointing for the price.",August 2016,30,National Geographic Society's Explorer Hall,mcvc99,Not worth the money
I went to the exhibition with my granddaughter. We both really liked it. It was laid out by epoch and you could really get a sense of the changes that occurred over time.  It is the best Greek. Exhibition that I have seen outside of Greece.  Unfortunately I believe that it will close the middle of October.,September 2016,50,National Geographic Society's Explorer Hall,Ogre1969,The Greek Exhibit is Excellent
and it is just not all that.,December 2016,30,National Geographic Society's Explorer Hall,Paul S,expectations
Lots of cool National Geo stuff to see. Take your time and make the most of the opportunity.  Great cafe inside.,November 2016,50,National Geographic Society's Explorer Hall,Andy S,Great Visit
"The National Geographic Society's Explorer Hall is part of the museum at the society.  Unlike other displays of temporary exhibits, the hall is free of charge has permanent displays of various explorers of specific interests.  Visitors will learn a lot of each explorer. Just walk around the building with glass windows.  Great place to learn about nature and explorers.",February 2017,40,National Geographic Society's Explorer Hall,Prawet J,Great wall to learn of explorers
"I always love going out on H street. This area has the best food joints, great entertainment (Atlas Theater, Rock&Roll Hotel, Mini Golf at H Street Country Club), and a cool vibe. It's a little out of the way if you don't have a car, but now that the street car is up and running (free rides!) there is no reason not to make it to this unique area of the city.",May 2016,50,H Street (Atlas District),Lasela2009,Favorite area of the city
"During the day on Mondays through Wednesdays, it was bit quieter than weekends, bars and restaurants were hidden, but on weekends, it was alive, busting and bars/restaurants were open that you did not noticed during the daytimes, but this street does not have NYC's cliche!",August 2015,50,H Street (Atlas District),Pinky C,Diversified & Trendy
"H Street and the Atlas District has a more edgy, modern feel than most of gentile DC. It can be a little dodgy later at night, but as long as you use normal ""street skills"" and don't stagger around drunk with your wallet and I Phone dangling out of your back pockets, you'll be fine.",May 2016,40,H Street (Atlas District),luv_big_cities,Urban Hip with some great food
"This shopping plaza has everything one needs - it's a one stop shop for the tourist or local on the move in D.C.  There are more than a dozen quick places to eat - think food court - with Asian Fusion, differing American cuisines, Latin, and Indian.  There is a CVS drugstore, where you can also pick up your staple foods and other necessaries that you forgot to pack - sunscreen, hats, water, rain ponchos, etc.  There is a barbershop, a nail salon, a fair amount of shopping, a post office, as well as a major metro stop.  It like - if you can't find it here, we'll make it easy for you to get elsewhere!  This is a great stop for those heading to see the monuments that want a cheap feed, a necessaries stop, and or good transportation.  ",September 2018,40,L'Enfant Plaza,962anthonyp,Cheap Eats - One Stop Shopping - well within walking of the mall.  
"Highlights: Nan and Beyond, California Tortilla, ABP, sushi bar at Gourmet II, Sandella's flatbread.  Chains: Subway, Starbucks,  Five Guys, Panda Express, Brown Bag.  Icky Moe's and things just like it.  Lots of tables.   Where the heck are the bathroom.",September 2018,40,L'Enfant Plaza,Mark M,"Some good, some bad, most blah"
"I spent one afternoon at L'Enfant Plaza, grabbing some lunch and doing a little shopping. It was a nice break from the touring in DC. I'm giving it four stars instead of five, only because if you're looking for a ""mall"" like you'd find in suburbia, you'll be disappointed. That said, for a mall in the middle of a city, it did have a fair amount of stores and plenty of places to eat. People were friendly, it was clean, and using public transport to get to and from it was very easy. (I took a free bus.)",October 2018,40,L'Enfant Plaza,Lori F,"Easy to Get To, Several Stores & Restaurants"
"We used the service of this metro rail commuting from Branch Avenue Maryland park and ride. No fuss, just quick transit in a comfortable atmosphere.",June 2016,50,L'Enfant Plaza,D423MYmarya,Fast trip without the stress of traffic/ affordable
The area is being developed a little more with shops and food options our only complaint was that some of the restaurants were closing at six not leaving us much of an option.,May 2016,40,L'Enfant Plaza,Rachel F,Up and coming area
