title,usr_code,review,place,travel_date,rating
A lotta fun!,Andre M,I cracked up from the beginning to the end. I was lucky enough to get an anniversary special presentation with lots of extra. But it is really nice and affordable and you should definitely go if you're around. They are really welcoming and like what they do!,Neo-Futurists,June 2013,50
"Unique, exhilirating theater experience",eowyn1113,"If you're fun-loving and open-minded, you will love this. Take a chance and check it out.",Neo-Futurists,September 2013,50
"Interesting place, but bring a raincoat.",Lifeisagr8adventure,"We made reservations for the Sunday evening show and were glad we did as many people in line for standby were not able to get in.  This theater is unique, it was small and a bit cramped and had uncomfortable seats.  The actors were incredible and so energetic, and the 40 short plays (each of which they wrote), that they aspired to perform in one hour turned into about an hour and half, but that was cool.  There was only one thing I didn't like, I felt bad for the people that one cast member sprinkled with a watering can during one of the skits and kept doing it during the last half of the whole show...they would somewhat randomly choose who got watered at the end of each play, but some people got it more than once and were pretty soaked. I hope they take that part out of their next performance...at the end they roll a die to find the number of new plays they will write that week, and replace that number of old plays with the new plays. We enjoyed the performances!",Neo-Futurists,August 2015,40
Favorite thing to do on a weekend,pdxmark2,"Some of it is crazy, a tiny bit is uncomfortable, a lot of it is funny, and all of it is entertaining. ",Neo-Futurists,October 2015,50
Incomplete Museum,Darlene43,"Large, new building with very few items on display and little historical information.  Right now, the museum seems geared towards grammar school children with hands on type of exhibits.  Second floor has paint cans and other items showing the museum is under construction and asking for input.  The videos available are very brief with very little information.  Definitely not worth $10 admission (plus cost of parking).",National Hellenic Museum,January 2012,10
"Great Place for our 15, 12, & 8 year olds, though still finishing the upper floors",TravJX3,"This museum built from the ground up and opened in December, 2011, was a great place to go for a day outing for our family's ""stay-cation"" during Spring Break week. Easily accessible by the Blue Line EL /subway (to Forest Park) at the Halsted stop, then walk 3 short blocks east to Halsted Street, the main street of Greek Town Chicago, IL with several great restaurants and bakeries within two blocks of the museum. Museum has four floors including the rooftop terrace, library / research of the 3rd level, second floor still being worked on though you get to ""go behind the scenes"", and the wonderful John C. Calamos, Sr. Great Hall with lots of young, middle school, and high school age activities to test, learn, read, and understand Greek history. Wonderful place at a fair price. Very nice ladies willing to assist you on every floor. It is worth it...try it!",National Hellenic Museum,March 2012,40
"Smart, clever, innovative, Second City-like theater experience",RossF1234,"It's unlike anything out there, it has a Second City feel, but it's intentionally less polished. It's messy, frenzied, and lots and lots of fun.",Neo-Futurists,January 2016,50
An incredible view into Lithuanian history and culture,R B,We most recently visited the museum to see their display of the Lithuanian holocaust when many Lithuanian citizens were shipped off to gulags in Russia.    What an incredible collection and documentary -- things I never learned in school (not surprising).   Beyond this special exhibit the museum is packed with other treasures that any museum afficiando would love - including a research department.     I had the pleasure to meet Mr. Balzekas while there ... what a consumate gentleman with an ardent desire for all to understand the Lithuanian history and culture.   It is certainly worth the trip !,Balzekas Museum of Lithuanian Culture,February 2012,50
Visually Apealing,ECJoe,We stopped by after dinner to watch the show.  We were watching from Wacker at Wells.  The show was nicely done and you could listen to the accompanying music via a website.  There is a countdown clock to let you know when the show is about to begin.,Art on theMART,May 2019,40
Interesting way to view art,Robert S,"We have viewed this twice; once during a cold March evening, and recently on a warm September evening. It is really interesting, and I did read a little about how it is done. Very impressive use of a building; and a very accessible way to view art. The show and the artists change from time to time. This particular show included several well know pieces from the Art Institute that were highly recognizable. I highly recommend this experience.",Art on theMART,September 2019,40
Merchandise Mart Gets Artsy,Susan P,"A very interesting concept in showcasing artists conceptual art for the public. Short displays of 'stories' are run on the façade of the Merchandise Mart. Best views are right across the river on the Riverwalk, between Wells and Orleans Streets, where you can sit for the 45 minute or so presentation. Projections begin approximately 30 minutes after sunset, and run every day through September and then will go to 5 nights a week till November or December. It is a lovely way to wind up your day. Accompanying music and narration is streamed, which is clearly indicated on a banner on the Mart. My only wish is that rather than streaming, the music and narration was broadcast audibly.",Art on theMART,September 2019,50
Amazing display of art and music,Susan F,This needs more publicity!! We stumbled across it on a drizzly Chicago evening and were enthralled enough to stand in the rain and watch the art materialize. The colors are great and the sync to the music is awesome. Definitely will seek it out on our next trip to Chicago for a longer show. Oh...and its free!!,Art on theMART,September 2019,50
Where the SS Eastland capsized in 1915,Taylor B,"The Clark Street Bridge is a bascule bridge that spans the Chicago River in downtown Chicago, connecting the Near North Side with the Loop. The crossing has been in use for more than 170 years. The first bridge at the Clark Street crossing was a floating bridge built in 1840. Construction of the current bridge in 1929 marked the end of the swing bridge era on the Main Branch of the Chicago River. What is a bascule bridge? Also referred to as a drawbridge, it is a moveable bridge with a counterweight that continuously balances a span throughout its upward swing to provide clearance for boat traffic. This is the eighth bridge to span the river at this point. One was struck by a steamer and collapsed. One was destroyed by the Great Chicago Fire. On July 24, 1915, the SS Eastland was scheduled to sail from the dock at the Clark Street Bridge when it capsized. The bridge is 346 feet long and 215 feet wide with a clearance below of 20 feet.",Clark Street Bridge,May 2019,50
An historical bridge,Neta_Avivi,"Originally built in 1840, The Clark Street Bridge has been destroyed several times over the years. It was burned in a fire and was destroyed by the SS Eastland, which was supposed to sail from the dock at the Clark Street Bridge when it capsized. Today it is just one of the many Chicago bridges.",Clark Street Bridge,September 2019,30
One of several iconic bridges,TeamWard,"No matter where you go along Chicago river you can see some stunning bridges, if you walk to them or experience travelling underneath on a river trip. its all good and worth the visit.",Clark Street Bridge,July 2019,50
Sailboat Passage,NXTTRP,"This past Saturday morning we were making our way from the hotel to the Art Institute to see the Warhol exhibit. There were only three boats on this passage as it’s late in the season, but it was fun to see the process. ",Clark Street Bridge,November 2019,50
Not the run of the mill music fest.,C2197MAthomasv,This fest is not for the faint of heart. Mostly DJ rock the stages and the crowd is 18 plus. Very EDM and people trying to rave out. We try and go every year to support Chicago and the Industry. Venue laid out very well and lots of room to dance and people watch. But that also means lots of walking. There very strict on what you can bring in so make sure to check out there site before you go. The food venders where laid out well but they need more of them to handle all of the people. A lot of them ran out of food. Bathrooms where well laid out and plenty to choose from. All types of music to choose to hear so pick your stage wisely. For a quick get away and to feel like your in your own little world make sure to visit there silent disco.,Spring Awakening Music Festival,June 2017,40
Fun but not amazing,camilapintot,"Also, be aware of what you bring since they are very strict.",Spring Awakening Music Festival,June 2018,30
Displaying & Celebrating The Greek American Culture !,X7964NYarunk,The visiting hours are from 11 am to 5 pm on all days except Monday when the museum is closed.The entry fees is $.8 per person.,National Hellenic Museum,October 2016,40
Not too impressed with their limited museum pieces. A lot of text and few pieces.,greecelightning,Not too impressed with their limited museum pieces. A lot of text and few pieces.  Kind of small.  Liked the rooftop. But looked at a lot of construction in the city from there!  The people were nice thought.,National Hellenic Museum,March 2018,30
"A fascinating piece of history, both Greek and American",fibersong,"The museum also had a retrospective exhibit of Georges Kokines, a superbly talented artist in a number of media, who I'd never heard of.  What a lovely surprise that was.",National Hellenic Museum,October 2018,40
A Gem in the heart of Greek Town Chicago.,Angela A,It is small enough to be able to view in less than two hours. Worth a visit.,National Hellenic Museum,April 2019,50
Could be better ,dvkremk,The curation could be a lot better at the museum.  The special exhibit of a Chicago Greek Artist was good - but the history of Greeks in Chicago and the US could be portrayed much better.  ,National Hellenic Museum,September 2019,30
Good Beer Selection,Todd C, They also have creative cocktails for the non-beer drinker.  It was very busy and hard to get a table.,Maplewood Brewery & Distillery,April 2019,40
Outstanding selection of IPAs - highly recommend ,qu_nadine,"I wish they sold single cans or let you mix and match a 4-pack. This was a problem I ran into all over town (Half Acre, etc.)",Maplewood Brewery & Distillery,June 2019,50
The Beers are FIRE!!!!🔥🔥🔥🔥,DanimalDanMan,"Man, these beers are amazing! Best local Chicago Brewery have had since Goose Island popped on the scene! Every beer I have had from them is FIRE!! Keep up the good work! I am highly impressed!!",Maplewood Brewery & Distillery,July 2019,50
Fun local brewery!,iTraveltheworld195,They do have games that you can play with friends at your table which is a fun option.  Would be fun to spend a rainy afternoon here.,Maplewood Brewery & Distillery,September 2019,50
Tough to rate a diamond in the rough,SOGChicago,"So tough to rate this place.  99% of what I attend here is stellar, but, WTF???  Great location, great theater/stage, great outdoor area, and it seems like 1/2 the time the place is empty.  I don't get why City Winery on the west side and SPACE in Evanston can host diverse music 5+ nights a week and the BAC cannot?  Have these same artists been asked to perform the night prior or after at the BAC?  It's been that way from the get go.   Last weekend, I was at the Brews Fest, very well attended, security great, entrance great.  When I commented to a worker, ""You need to have this event every month!"" they replied, ""Oh, it's a lot of work!""  I then asked if they were volunteers.  ""No, employees,"" was their response.  Is that it? Too many right brained folks?   Please consider reaching out to City Winery and SPACE to get a clue as to how to run this fabulous venue.  I love this place and it is in my neighborhood.  It's success will help Beverly Morgan Park stay strong.",Beverly Arts Center,August 2017,40
America English,nemoandmish,We went to the American English concert here and had a fabulous night. Small open bar with beers and wine to partake during intermission.,Beverly Arts Center,February 2018,50
Great performance venue,zimmys57,"If you are looking for an intimate place to see a stage or theater performance you need to visit the BAC.  We saw The Four C Notes and sat in the fifth row, Sound and lighting was excellent and they put on a wonderful show. Beer, wine, and other refreshments are available and there is not a bad seat in the place. A word of advice would be to arrive early as parking can be a bit limited,",Beverly Arts Center,April 2018,50
Art Exhibit,dvkremk,"We visited the Beverly Arts Center as part of Open House Chicago.  They had an interesting art exhibit with various types of paintings, etc.  The venue was rather small - but nice to see the art.",Beverly Arts Center,October 2018,40
Well worth a visit,Rolf A,"Though it's many miles from downtown Chicago, this node of culture is well worth a visit for fine arts exhibits but also for its film programming that often accompanies a current exhibition.",Beverly Arts Center,March 2019,40
The giant door!,Worldtosee2018,"We never went inside the building - I think it’s just a headquarters for Big Monster Toys - but the attraction here is the giant sized door in the wall which makes you appear tiny! It’s good for a giggle as you pose for a photo trying to reach the door handle. You’ll need to use a map on your phone to walk here, but we got to see off the beaten track Chicago which we wouldn’t have normally seen. I think Firehouse 51 from ‘Chicago Fire’ is not that much further away as well, but we didn’t realise this till we got back home.",Big Monster Toys,October 2017,50
Just a door with a giant doorknob,O6378WFannag,Is an office which design toys for different toys company. Most likely you won’t go inside but you can take a picture from the street with enormous door and door knob ... like from the fairytale about giants and Lilliputians   ,Big Monster Toys,December 2018,30
Unique Place to Take a Picture,Ponkster828,It is worth visiting ,Big Monster Toys,May 2019,40
Excellent Memorial,Taylor M,"This site is dedicated to the men and women in blue that have lost their lives performing their sacred duty to the City of Chicago or to the United States in the armed services.  It is off the beaten path close to Soldier Field, but definitely worth the visit.",Gold Star Families Park & Memorial,April 2017,50
Beautiful place,MDonega,"The gold star families park & memorual is placed on Chigago's great park on the entrance of the stadium, all the stadium was done thinking in the memorial and has a amazing arquiteture.",Gold Star Families Park & Memorial,June 2018,50
Nice memorial,ian_dempster,I stumbled upon this lovely memorial to the Chicago police after visiting Soldier field. Very tastefull with the names of the police who have died within the memorial,Gold Star Families Park & Memorial,September 2018,40
Good to see,bryanl342,"Nice memorial.  The park is a very nice place to walk around, great view of soldier field but the memorial is very well taken care as it should be!",Gold Star Families Park & Memorial,May 2019,40
Nice Park & Memorial,Neta_Avivi,"This is a public Park located east of Soldier Field in Chicago. The memorial was created in order to honor the Chicago Police officers who died in the line of duty. It is wonderful to walk around the green park, relax and enjoy the beautiful views.",Gold Star Families Park & Memorial,September 2019,40
Great beer and brats - go off hours for best service,maryjok456,Out running errands and this restaurant was very near where we were headed so we decided to give it a try.  We were there on a Saturday around 2 PM.  Not too busy.  Loved the beer selections and the brats - rest of the food looked so so.    We did not do a tour of the brewery - just took a look from the windows inside the restaurant.,Baderbrau Brewery & Tap,November 2017,30
"beer yes, food no",sleepster,"I understand the desire to provide food to go with beer. Baderbrau is in the beer business. They appear to have tacked on food to their business model. This is not a bad thing, but is should not detract from your beer business. This place is spacious and looks like a restaurant so it makes sense that people come here to eat. The beer selection was good, but the food selection was limited, overpriced and not good. The place has picnic style seating mimicking the German bier garten so this and the name made me choose the brat. The brat was nothing that I couldn't get off a grocery store shelf. Who with a German name would serve a brat with yellow mustard? It seems that the owners have never been to Europe or been exposed to good examples of what they are serving. If you want to look authentic and serve authentic beer then either jettison the food or get it right. I would recommend eating first then trying their beer and then venturing to some other craft breweries close by.",Baderbrau Brewery & Tap,January 2018,20
Great local brewery! ,Missie S,"So far, my favorite local beer!! Great variety, fun brew house! Wished they provided in more local restaurants. ",Baderbrau Brewery & Tap,February 2018,50
Love the Mac and Cheese Waffle,psydz,I keep on coming back to this place mainly because of the mac and cheese waffle. I'm more of a dark beer person and they don't usually have a lot of those. The beers are good though. My only issue for this place is parking. You cannot park on street in front of the brewery before 6:00 PM unless you have a sticker.,Baderbrau Brewery & Tap,May 2018,50
Bader's Beer is Best!,klbader,"Bader being my last name, I had to check this place out!  I got a flight of beers and ended up buying some to take home.  They have a nice selection of different brews. The food was good as well, especially the Rueben!  The flatbread pizza was great too.  Nice, relaxed atmosphere.  Would definitely go back if I was in the area. ",Baderbrau Brewery & Tap,January 2018,50
Great stop at the south end of the bike path - free entry to the building,maryjok456," South Shore Cultural Center (formerly the South Shore Country Club) is a cultural facility that has been recognized as a Chicago Landmark (2004) and is also listed on the National Register (1975). This cultural haven was founded in 1905 and later rebuilt in 1916. Bought by the Chicago Park District in 1975, this historic building was restored as a historic landmark after a massive community campaign led by the Chicago Park District and historic preservationists. South Shore Cultural Center totals 64.50 acres. With its magnificent country club-like interior,this facility features a solarium, formal dining hall, Paul Robeson Theater, Washburne Culinary Institute, and the Parrot Cage Restaurant. Green features of the park include a nature sanctuary and a butterfly garden. Outside, the park offers a nine-hole golf course, beach, and open spaces for picnics and walks. Many of these spaces are available for rental including our solarium, dining room, theater, and fields. Park-goers can participate in variety of cultural programs and classes for all ages in dance, music, art, health, culinary arts, fitness, and more. South Shore has recently added new adult art classes including textile art, drawing & painting, mixed media art, and ceramics.",South Shore Cultural Center,December 2016,50
Lovely historic building with great community golf course and beach,Schmidly6,"This building is lovely with great detail and decorations, great community gathering place. The beach is lovely and the golf course is great!",South Shore Cultural Center,July 2017,40
Wedding this past weekend,kmennell,"The place was amazing.  The staff took care of my bride and I.  The tables were set up, work with the catering staff, security - all were top notch.  Thank you for the great time.",South Shore Cultural Center,October 2017,50
Good wedding venue,Dr100percent,"This building is spacious and very sunny (on a nice day), multiple large halls with big windows to let the light in",South Shore Cultural Center,September 2019,40
An excellent symbol of the Guilded Age!,Sabir H,A beautiful historic building & grounds. Love to attend Musical Performances at this majestic building. An excellent symbol of the Guilded Age!,South Shore Cultural Center,November 2019,50
Barrel of monkeys - Thats weird Grandma - AWESOME!,anodrac828,We will be back !,Neo-Futurists,March 2017,50
Awesome ,K6514HMsams,"We spent 4 days in Chicago and did all the major museums.  Probably too much for our 8 year old.  This was the highlight of the trip.   I didn't know what to expect from ""That's Weird Grandma"" and I'm still not sure what to think about except it was awesome.   Kids loved it.  It was almost surreal, but in a good way.  I highly recommend this show.  ",Neo-Futurists,March 2017,50
Fantastic!!,PelleasPhiladelphia,So very very glad I went here on my visit to Chicago.  A tiny very cool venue  with wonderfully outlandish structured improvised avant-garde (for lack of a better word) theater.  So entertaining risky and daring and most of all fun.  Go!!!!! ,Neo-Futurists,June 2017,50
Go see this show!,Melissa H,"i have seen this show twice and loved it each time. The plays are different each time so you can go see this show every month! Some plays are funny, some are poignant, all are amazing. The cast are incredibly creative and talented. Please go see this show!",Neo-Futurists,July 2019,50
Annual Tradition,yongseohaejulge,"If you do nothing else in Chicago go to the Neo-Futurists. A laugh out loud highlight collection of 30 acts in 60 minutes with contemplative, weird, ridiculous, sweet, and moody pieces. Bring your shouting voice! Dynamic and interactive, I went every year for four years in a row, that's how much I love them! Plus if you are feeling risky, you can wait in line for a token and call upon lady luck when you roll dice for your final ticket price. Never a dull moment and tiny pizza slices in celebration if they complete all 30!",Neo-Futurists,January 2019,50
Excellent Small Museum,L9033JNjackb,"Worth a trip to Chicago's China town for an excellent meal, shopping and a visit to this museum.  It has a very accessible collection with an excellent representation of Chinese Art and pieces from other Asian Cultures.  The museum's collection is constantly expanding with gifts from major collectors and intelligent acquisitions.  The quality of the objects is quite high.",Heritage Museum of Asian Art,June 2018,40
Hidden gem!,sbp0713,A comprehensive Asian Art museum with a focus on Chinese.  The Chinese on display rivals the other larger more established institutions in town.  Some pieces are world class examples in a Chinatown location,Heritage Museum of Asian Art,August 2018,50
Interesting pottery,Sandy K,"I loved seeing the pottery statues and tomb guards. An extensive display of these artifacts and models of ancient Chinese buildings captured most of my attention. Furniture, jewelry, dishes, and other artifacts round out the small museum. $8 entry fee. ",Heritage Museum of Asian Art,December 2018,40
little known museum with outstanding exhibits,MSchmidChicago,"This museum has Tang era sculpture to rival that at Chicago's Art Institute, and has a collection of Han era sculpture that is rarely seen.  And that's just the beginning.",Heritage Museum of Asian Art,December 2019,50
Traditional Chinese Architecture,Solodam J,"Nine Dragon Wall is a piece of traditional chinese architecture. The ancient chinese believed ""9""  to be the most prestigious number and Dragon the soul of all things of creation. This wall is located near the metro station. Beautiful piece of ceramic work",Nine Dragon Wall,September 2018,40
Nice Dragon Wall,Betty C,This is a smaller reproduction of the Nine Dragon Screen (Wall) in Beihei Park in Beijing.  There is a sign that this screen is one of only three replicas outside of China.  It has nine huge dragons and over 500 smaller dragons.  It is a great photo-op.,Nine Dragon Wall,November 2018,40
Just a Wall,marinexbiologist,"There is really nothing special about the Nine Dragon Wall so I wouldn't drive out of your way to see it. However, if you plan to also walk around Chinatown which is across the street, then take a moment to look at it. If you are into Asian architecture, then it is a very beautiful sight. It is partially gated but you can see over the short gate and get good pictures.",Nine Dragon Wall,March 2019,30
Traditional Wall,Neta_Avivi,"The Chicago Chinatown wall is a replica of the Nine Dragon Wall in Beijing and is one of the only three outside Beijing. If you come to Chinatown (which I recommend) it is nice to look at the wall, but I would not come to the area especially for that.",Nine Dragon Wall,September 2019,40
First Rate in the Second City,BigXyu,"I’m a local and I’ve been here several times. Each time has been fantastic because of the drinks, the low key atmosphere and the friendly staff. I’ve tasted everything on the menu and while I like some cocktails more than others, two sips into any of them and my insides are warmed to the right temperature, summer or winter. I will keep coming back regardless of bathroom walks, empty streets or inclement weather. This is a pure Chicago gem and speaks to the entrepreneurial nature this city has been exhibiting since its inception. I’ve also purchased several bottles for at-home consumption and my family always wants a taste hear or there. As long as they don’t move into the lake, I’ll keep coming. ",Rhine Hall Distillery,December 2017,50
Took the Tour.... lots of fun,paul274Boston,"If you want to see how Whiskey is made in a legal, licensed operation, this is a great start. The staff are friendly and helpful and the samples were flowing. The small batch distillery make it easy to learn how the process works. Good fun. Please go. ",Rhine Hall Distillery,December 2018,50
Fun cocktail class,andikmyers,We couldn't leave without buying a bottle of the oak aged apple brandy. The evening was about 2 hours and was a ton of fun. I recommend this as something fun to do after dinner.,Rhine Hall Distillery,January 2019,50
Wished for More,brmusicman,"Good potential; we left glad we'd gone but hoping for an experience that might turn this into a regular place.  We didn't have that experience, sadly--but I'd say if you like craft spirits and want an off-the-beaten-path experience it's still worth going at least once.",Rhine Hall Distillery,November 2018,30
This is a great find.,Erica319,"Whether you call it antique or vintage, this kind of shopping is fun IF you go to the right places and this one is.",Broadway Antique Market,September 2013,40
Antiquer's Paradise,Treena O,"With two floors of high quality, well-displayed, diverse items ranging from the decorative arts, mid-century modern furnishings, historic photos and magazines, and a fabulous selection of jewelry, this place has absolutely everything an antiquer dreams of! The space is large but not overwhelming and also has many items that are unique to Chicago and the region, especially items from various fairs and expos held in the early part of the last century. The staff is friendly and even the bathrooms are retro, in style!",Broadway Antique Market,May 2016,50
Cool stuff,Amber H,Good stuff to look at but not alot of good deals. They had several cool pieces to take a closer look at. Nice staff. Big place to wonder through.,Broadway Antique Market,March 2017,40
One of my favorite antique stores!,jessicaehenneman,"We swung through here on a cross-county road trip, and nearly a year later I'm STILL thinking about (and regretting) the colorful set of Blendo glasses that I found here. Not to worry too much, though- I still found a few things a little less breakable to pack into the car. They've got a little bit of everything here- clothes, jewelry, decor, furniture. It's a lot to go through, but in generally great shape and well organized, making it easy to peruse. I could have easily spent much longer here than I did. Definitely on my agenda next time I'm in the area.",Broadway Antique Market,July 2018,50
The coolest vintage,Alice M,"Curated vintage, so no ""junk""...75 dealers with cool decorative items and a really interesting variety (lots of furniture, fashion and jewelry, world's fair, posters, historic collectibles, lighting, books, paper & advertising, china, you name it). Art Nouveau, Art Deco, Mid-Century, etc.  A must-see destination.",Broadway Antique Market,August 2019,50
Massive ,ian_dempster,This is a lovely store on the magnificent mile. Had a look after just arriving. Men's department is superb and do big. Just wish it wasn't on the eigth floor.,Macy's,August 2018,40
Mixed review,Betty O,I usually only write a review if I score a 5 or a 1. But today I went to men’s department and a very poor service. I tried using a coupon and I went through 3 people and they wound not let me use it and said a pair of pants I was buying was considered activewear. Then I guess that is what they say so they don’t have to give discount. I was ready to cut up my card. Then I went to the women’s section and had such a nice and helpful lady. I guess I will give Macy’s one more try. But I think I will start throwing away the coupons they send out because they are just disappointing. ,Macy's,February 2019,30
"Nice store, spotty service",johntpt,"Most Chicago residents and frequent visitors still lament the departure of Marshall Field's. The Macy's stores that replaced them are well stocked but the service always leaves something to be desired, as there never seem to be enough clerks and no one is around to answer your questions.",Macy's,June 2019,40
Online con - tried to make me pay double for a product I'd already paid for,Kirsty R,"Awful, awful service would give -100 stars if I could. I was conned by Macy's today. I placed an order for same day pick up, customer services admitted fault that they misfiled the order under ship-to-store to arrive several days later. They had the item at the store but refused to let me pick it up unless I paid them the full amount again, which I couldn't afford to do. Super shady. 2 hours later customer service had called the store manager (apparently it was at the store manager's discretion whether to let me pick up what I'd already paid for?!) who also refused what shouldn't have even been a question. So they have ruined the special event for which I placed the order, wasted hours of my time, and are guilty of false advertising. It would have been such an easy fix but they just don't value their customers. Do NOT fall for their con if you need something same day!! I doubt I'm the only one they've pulled this with, so stay away!",Macy's,August 2019,10
No Home to Go To,Beverly T,This exhibit shows how Lithuanians left their country during the war.  The permanent collection shows the Lithuania culture through the ages.  There are many archived papers for research purposes.  Staff at the museum can assist with additional information.  ,Balzekas Museum of Lithuanian Culture,October 2016,40
Best museum for Lithuanian culture,MeBlonde,"It was late in the day and I was in the building for some other business when I noticed the gift shop was open. There was a young woman named Eva who told me I could look around.  I figured it was very close to closing so I quickly looked around the first floor museum and will be back.  I left a donation. There is a reasonable charge to see the museum. Lots of things to look at with costumes and display cases filled with Amber which is a Lithuanian mined stone.  I was told Mr. Balzekas who is in his 90's still comes to his office every day.  The gift shop was very interesting and Eva was delightful explaining the culture.  There were books, jewelry, and gifts that I bought for Christmas gifts. History buffs would certainly enjoy all the exhibits.  I parked on the street in front of the museum.",Balzekas Museum of Lithuanian Culture,December 2016,50
Cultural Day in Chicago,Mama_B1A,"My husband's family is from Lithuania so it was very neat to learn more about this country, my family is also from a region very close by so we all learned a lot! Our children, ages 8 and 11 had a good time as well, we all really enjoy history and culture. The children's part of the museum was amazing, it was decorated like a castle and the children really had a great time exploring everything. The pricing of the museum was not expensive and a fair price, for a few dollars more you can become a member, so we did just that and received a nice Magazine with more information about modern day Lithuania.",Balzekas Museum of Lithuanian Culture,July 2017,40
Small museum but lots to explore,patrician,There is a lot of personal history stored here and it's clear that the people who work/volunteer here have a passion. It's very small and a little dark and cramped but well worth the visit!,Balzekas Museum of Lithuanian Culture,May 2018,50
Balzekas Museum of Lithuanian Culture is Beautiful,512LindeB,I visited this museum in Feb. 2019. I took public transportation to get there and back to the hostel I was staying. It is a lovely museum and has interesting artifacts and photos of life in Chicago for Lithuanians over the years. The museum employees are friendly and helpful too. ,Balzekas Museum of Lithuanian Culture,February 2019,50
Free attraction for the whole family,maceyr-maceyr,"This conservatory is free but donation is strongly encouraged.  I was expecting a relatively small greenhouse or similar attraction with some plants but was amazed at how many plants were there.  The conservatory was divided into certain rooms depending on the climate of the plants.  There's a room for ferns, a desert house for cactus family of plants, aroid house, children's garden, palm house.  There are even some koi fishes swimming in the ponds.  If you are a lover of plants, you will love  this place.  Even those who aren't into plants will find it quite enjoyable.  During the summer months, there will be other gardens outside.  Looking forward to revisiting this place in the summer.",Garfield Park Conservatory,December 2018,50
A Garden in the City,SusanKelly29,I went in the winter and the Garfield Park Conservatory is a welcome green paradise. There are lots of plants from different regions and they're all well labeled. It's a good place to learn about botany or just get a break from the doldrums of winter.,Garfield Park Conservatory,February 2018,50
Beauty lives inside,PDXEmmaB,"We saw people drawing, painting and just kind of chilling out in several different areas.  Do not pass this place up!",Garfield Park Conservatory,June 2018,50
A must visit place in Chicago!,ChicagoSJP,The conservatory is not in the best neighborhood but there is plenty of parking to visit by car or take the ‘L’ (Green Line) almost to the door. One of the best conservatories in the country. You will not be disappointed.,Garfield Park Conservatory,December 2018,50
You either know what a conservatory does or you don't.,JamesS7656,This in my opinion isplace the greatest Conservatory in the world. I  have been in and out of this place over this years since the 1950's and have never been disappointed.,Garfield Park Conservatory,February 2018,50
Tour of Chicago,winston323,"We drove by the United Center, there wasn't anything happening that day so we continued our tour of the loop",United Center,December 2018,50
Hawks vs Capitals January 20th,markkA1387ME,"Wife and I were spending 5 days in Chicago for our 40th wedding anniversary and I was determined to catch a Blackhawks game. I was able to get tickets for the 11:30am game on January 20th almost last minute on Stub Hub. We took a Lyft to United Center and they dropped us off in front of gate 3. Once inside I was amazed at all the concessions available and the seating was just as close. You have not lived til you experienced the National Anthem done by Jim Cornelison and the roar of the crowd. This was on my bucket list. BTW the 'Hawks handed it to the Capitols and it was an overall great time. Everything in close reach and you cannot beat the passion of the fans supporting an ""Original 6"" team.",United Center,January 2019,50
Michael Jordan statue!,cyrinay,We came here to check out the statue of Michael Jordan! It's located inside the atrium. There's also a store inside with lots of Bulls and Blackhawks gear that you can get. There's a train car inside that has large interactive screens where you can take pictures/videos of yourself with a background of your choice.,United Center,January 2019,50
Beers and NBA game,CWolfHomes,Went to an NBA game while in town. Bulls were having a tough season but was an eventful time. Beers were about $8 in our seats and more at the concession stands. Great light show and they get the crowd pumped up. We would go again. ,United Center,January 2019,30
Disney on ice,jzpurdue,Came here on a Saturday with the family for Disney on ice.  The stadium was clean and there isn't really a bad view in the place.  Free parking for family events.,United Center,February 2019,50
Nice Weekend Visit,Gary D,"My wife and I were in Chicago for the weekend to celebrate our anniversary and see Hamilton.  Our hotel was in the loop and we were able to walk from Union Station to our hotel, restaurants, the Riverwalk, the Lakefront Trail and the theater.  It was a great weekend and we  got plenty of chances to get our steps!",The Loop,August 2018,50
A VIBE all its OWN!,Robert E,Close and convenient to everything  the Loop has a vibe all its own...a real must.....so many choices of eateries......places to grab a cocktail and just hang with friends.  It never fails I always make new friends when I hang out there!,The Loop,September 2018,10
Lot of historical architecture here,CRod_USMC,"I live here so am biased, but then again I should know, right?  Take a stroll around the Loop.  It is worth the walk.  From the park side to the river, you'll see great architecture and many shops and restaurants to visit, or just window shop in.  ",The Loop,July 2018,50
A great part of the city,McWett,The loop is not to be missed whether you’re staying in the area or just take a walk around so much to see so much to do.,The Loop,August 2018,50
Downtown,Karen C,"The Loop is a great section of downtown Chicago with hotels, restaurants, shopping and beautiful architecture. Easy to get around by walking or taking the L train.",The Loop,September 2018,40
Lovely city,John B,"I have been to Chicago many times including a recent family trip. It is a lovely city and the people are generally very nice. It is especially nice in the summer and fall and the photos included are from around the city on a recent trip. As you can see, the city has considerable charm and character and is very walkable. ",Chicago Skyline,July 2019,40
magnificent-daylight or dark,Gran7,The skyline defines this city.  Modern and old mingle to create a great American city in its heartland.  Go up high to enjoy the sights and enjoy from the street.  ,Chicago Skyline,October 2018,50
Picturesque ,5simba,Saw the skyline on both a helicopter tour and a boat tour. Two different perspectives and both recommended! ,Chicago Skyline,July 2019,50
Awesome skyline,tedbodnar,Go and enjoy all of the buildings that provide a very Chicago-esque  type of discernable architecture - its own flavor. Take a bus tour or walk to see more details,Chicago Skyline,July 2019,50
