title,review,place,rating,travel_date,usr_code
One of the world's great museums.,"The Met is huge and has a world class collection of art and artifacts from many cultures and countries, from different historical periods. So you can see modern art, a great range of European art, as well as ancient Egypt, African, Middle Eastern, Asian and so on. There are always interesting special exhibitions. Don't forget the ""Met"" includes The Met Breuer for modern art and the Cloisters and a single ticket gets you all three for one day (which is nice but impossible). Also check out concerts, especially around the holidays. If you plan to visit more than once a year with a guest, check out the membership options. The museum has a number of restaurants. Don't bother with the Petrie Court or the American Court Cafés -- you might as well go to the Cafeteria. The 4th floor Dining Room is expensive and I haven't eaten there. Nor have I tried Great Hall Balcony Cafe. The Met is divided into sections. Plan your visit, or pick and area and just discover. For art lovers, it's must.",The Metropolitan Museum of Art,50,October 2019,Davis H
My favorite museum,"For many years I did not particularly like the Met.  How could it compare to the European greats?  And then I realized that is what makes it great.  Very few blockbusters.  No masses of crowds taking selfies, but never looking at the art.  The Met is a wonderful place to wander around, expose yourself to human culture, and learn.  I have come to love it.",The Metropolitan Museum of Art,50,December 2019,davidmoniz
Don't know if there is ever enough time here,"went to see the Marvels exhibit whihc was terrific. Went early so not too crowded on a Sunday am, very busy by the time we left. We go everytime we are in New York and love it.",The Metropolitan Museum of Art,50,December 2019,Steve S
Always a Treat!,"There is something for everyone here at this glorious museum.  If you have an appreciation for beauty, you can easily spend a day here.",The Metropolitan Museum of Art,50,December 2019,VCF_Chicago
Very good ,Enjoyable and but probably visit in Spring instead of Autumn/ Winter .,Central Park,50,December 2019,swarbi
Amazing place ,"What a lovely park. The whole experience was really great. Street entertainers, skating rink, the boat house for a coffee. My favourite place ",Central Park,50,December 2019,jeany1960
A slice of beauty in a world of steel,Biking through the park was a great way to see more of the beauty in less time.  Can be hilly though so be prepared!,Central Park,50,November 2019,SSJD8
My favorite museum in NY,"I have the pleasure of being able to visit this museum quite regularly and it’s one of my favorite ways to spend my day. There’s art that spans all genres and has great armory exhibit. There are a few meal options inside and some even serve alcohol. Also, don’t forget to go see the exhibits on the rooftop. There are really nice views of Central Park and Manhattan from there.",The Metropolitan Museum of Art,50,September 2019,lazyseoul
Tour of the North Woods,"This was a terrific and informative tour by one of the many volunteers of the Central Park Conservancy.  The tour began at the Discovery Center at 110th Street (which also features ongoing and changing exhibitions) and proceeded outdoors around the Harlem Meer and into the North Woods.  Information included elements of the history of the park and its design, as well as what can currently be seen and experienced and what is planned for the future.  The Conservancy offers no- and low-cost tours of many parts of the park.  A full calendar can be found on the park's website.",Central Park,50,December 2019,claudine97th
Views Fo Days,The empire state building is the best for night time views!!! Its obviously cold up there so bundle up!,Empire State Building,50,December 2019,Shaun S
Sunday is the day to go...no lines or crowds,"I took my daughter and her best friend to the Empire State Building during our 16th birthday NYC trip, and it was awesome!  The new museum is really interesting, and the staff were all so friendly and helpful.  Tip - go on Sunday  morning instead of Saturday!  Lines were wrapped around the block on Saturday so we came back on Sunday and there were no lines at all.  ",Empire State Building,50,December 2019,NoelleS273
Beautiful ,Love this park so many activities from ice skating to visiting a zoo. Beautiful park and great playgrounds for children,Central Park,50,December 2019,suzannemM9612OR
60% OFF Offering Best Flight Deals on New Year,When you are looking for the Thrifty or Cheap Flight New Year Deals then only leading portal helps you to manage your flight booking which is Smart Flight Fares.  Saving more on the booking of your air tickets on this new year with the call on this number; +1-800-894-4802. The Best Deals on New Year Air Tickets Booking is not the big deal for you when you are browsing on the Best Flight Search Engine.,Statue of Liberty,50,December 2019,smartflightsfares
Beautiful,"Amazing to see her and hear some of the history. We did not go into the base because of all the steps.  It was a rather cold day, so maybe another time we will trek up into her",Statue of Liberty,50,December 2019,Beth S
Spectacular,Wow what a spectacular view I have seen in statue of liberty. I am so lucky to Visit statue of liberty.,Statue of Liberty,50,September 2019,mkishore93
Excellent  building,"The experience was fantastic,  starting at the museum to 102 flor. there are many things to see  inside.",Empire State Building,50,December 2019,Getaway57751293018
Amazing,A goal of ours was to go up to the top in the evening. Getting in was so easy no queuing for tickets we swiped our explorer pass and into the interactive area first reading how the building was put up in 14 months and then going into the king Kong area. The ride up is also an experience in itself.when you get to the first drop off area the views are great but on the viewing gallery outside after the second elevator ride they are excellent. The staff were always on hand to answer any questions and helpful,Empire State Building,50,December 2019,Matt C
Sunset spectacle of light,lovely views all around and a great photo opportunity.,Top of the Rock,40,December 2019,alansL6010EE
Nice walk,This is a nice way to walk a mile and a half above the bustling city.  It’s got some great art work and nice places to sit and relax. ,The High Line,50,November 2019,Californiagirl
A must visit.,"This is an amazing place all year around. The walk now has many places where you can ‘get off’ along the way. If you like plants and gardens you will be impressed with the way this old railway like has been converted into a garden above the bustle of New York. There are many viewing points and seating along the way, and at weekends there are stalls u see the bridges selling trinkets, coffee etc.",The High Line,50,December 2019,Beverley B
Best Nightclubs in NYC,Incredible nightclubs in the area to check out with discounted tickets available. Please feel free to reach out and get on the guest list. Text me at 929-208-7972,The High Line,50,December 2019,Justinpastis
Very interesting and historic building.,My husband and I did a walking tour of Grand Central Station with a group called Free Tours by Foot. We highly recommend this particular tour which is held on Sunday mornings at 10 am. The main hall has signs of the zodiac on the ceiling and a spectacular clock at the information desk. There is a very nice seafood restaurant and several other eateries. There is also a wonderful food market in the terminal. The tour also included information on the nearby Chrysler Building which is a fine example of Art Deco design. The tour is free and you can make a donation to the leader if you enjoyed the tour. ,Grand Central Terminal,50,June 2019,pubcrawlwer
Busy but very photogenic.,"This is a functional station and so has commuters as well as tourists. There is an extensive dining area in the basement and a really good market on the main floor. Be prepared to jostle with other people wanting ‘that view’ across the main thoroughfare, including wedding photo shoots. Be aware photographers, that tripods are not allowed to be used here, unless you have applied for permission beforehand.",Grand Central Terminal,50,December 2019,Beverley B
beautiful place,"Even if you are not taking the subway or train, go to Grand Central. The architecture is so beautiful. The pictures you can take here are amazing. Also great food shopping and people watching!!",Grand Central Terminal,50,December 2019,boxwiley
Beautiful in all seasons - A must when in NYC,"We went there with our 4 month old baby and loved it, it isn't shadowed all the way so be prepared and can be crowded on weekends but worth it. A piece of nature in tge city - great walk.",The High Line,50,September 2019,Kamila S
Amazing,"Hands down, the most beautiful skyline I’ve ever seen....it’s beautiful at night and equally beautiful during the day.  Best view is from the Brooklyn Bridge",Manhattan Skyline,50,November 2019,Californiagirl
Just Spectacular!!,be in Long Island City directly across the East River to view this spectacular sight!  ,Manhattan Skyline,50,December 2019,Christina M
Busy and Beautiful,"This is.a huge subway terminal.  It’s big, it’s beautiful and it’s busy.  I love to walk around in there and just window shop or people watch ",Grand Central Terminal,50,November 2019,Californiagirl
A Long Weekend,An amazing experience which I would urge everyone to try. There are no words to describe the feeling of being there and seeing everything you have either seen in a magazine or on the TV,Manhattan Skyline,50,June 2019,36Debbie
Simply Iconic,"Amazing that new ""pencils"" are poking up still in this densely poplulated city.  This skyline is clearly iconic and one that everyone should experience.",Manhattan Skyline,50,December 2019,Donald W
A great walk,This bridge is a great way to see the Manhattan Skyline both during the day and at night.  It’s about 2 miles across and you can’t beat the view ,Brooklyn Bridge,50,November 2019,Californiagirl
You don’t have to cross it to enjoy it!,"This is a very, very popular tourist site. Hundreds of people cross it in order to take photos...usually selfies...from the Manhattan side. Early morning or late evening avoids the main crowd. Be aware that you need to stick to one side of the bridge or incur the wrath of cyclists or worse!",Brooklyn Bridge,40,December 2019,Beverley B
Fantastic walk,We walked across the fabulous bridge from Dumbo to battery park on a beautiful day. Great scenery! Some great features such a worthwhile visit ,Brooklyn Bridge,50,December 2019,jeany1960
So sorry I waiting so long to do this!!!,"Even being a lifelong New Yorker this was the first time I walked across the bridge...what a mistake for waiting so long!  So amazing!!!   I think that these are the best views of NYC.  You can see all of downtown and good chunk of midtown as well.  We went on a magnificent day so the views are outstanding.  We started on the NYC side.  Don't be discouraged when you first start...its crazy crowded but the crowd thins out quickly.   It's a nice easy walk, with plenty of places to take great photos and benches to sit you want/need to.    If you are a tourist do this!! And if you are from the area don't wait as long as I did!!",Brooklyn Bridge,50,December 2019,petezippy
Go for it !,it  divine.,One World Observatory,50,November 2019,arnaudc75001
Family time,The only downside is the exit process - the line to the elevator gets very long and at some point there was 30 minute wait. Just be prepared to wait. This was our second time visiting and we would do it again ,One World Observatory,50,December 2019,lv2trvlyandm
