title,travel_date,rating,place,usr_code,review
Horrifying,December 2018,10,Glaser Organic Farms,gourmetgalmiami,Stay away from this horrific place
Everything you need,December 2018,50,Glaser Organic Farms,Damica_C,There's a lady across the street who sells tamales & organic honey. I ended up here twice in the same week :)
"Antiques, Antiques, and more Antiques!",July 2019,50,Stone Age Antiques,Loucious,Feel like Treasure Hunting? Have a little time to spare? Get ready to Immerse yourself in a Time Capsule! Layers upon layers of Old Stuff. You would probably go mad if they left you inside & locked you in! Hours go by and you have only traversed one section of this Massive warehouse (if you want to call it that). Fantastic treasures await your find! GetSome!!
"Beautiful Park, tons of volleyball, relaxation and dogs!",November 2016,40,Lummus Park Historic District,biscardicreative,Really nice place to relax or enjoy some volleyball in South Beach.
Lummus,February 2018,40,Lummus Park Historic District,LollysLook,Lummus Park historic district is a beautiful open air green park on the water to explore. You can enjoy the beach and the green area with palm trees and people watch. 
Great place for families ,March 2018,50,Lummus Park Historic District,seanmK493CA,"Safe, near to the shops and restaurants and near to the beach. Clean and tidy and lots of amenities including free public toilets (that are clean). "
Green space ,July 2018,40,Lummus Park Historic District,layasmine,Nice green space around miami beach . I napped under the palmtrees . Euumaaaziiiiing. U can as well rent a bike and do some exercise lol ... depends on your mood . Enjoy . Peace 
Surprise!!,October 2016,40,Alice Wainwright Park,Titi0809,"We went to celebrate the 1st birthday of our daughter. We tried to make a reservation but unfortunately we couldn't, so we went early in the morning and pick a pavilion, we decorated with balloons and party stuff, we put a table cover and even plastics cups, all with the intention to ""reserve"" the place ! Well when we came back not only another people was in the pavilion, other pavilion was decorate with our stuff, So, if you are planing to celebrate something, pick a park when you can make a reservation! Beside of this! It's a really nice place with a wonderful bay view, and the people who works there are very kind. "
Beautiful Views,July 2017,50,Alice Wainwright Park,Andrea P,"This is one of my favorite parks in Miami. The water views and tree line street of Brickell Ave make it an amazing place to walk, ride bikes, jog, or rollerblade. The street is a dead end so it's great for those activities and there's always a police officer hanging around for extra safety. The park has everything from basketball courts, workout equipment, pavilions for parties and events and bathrooms.  There's  a jungle gym for kids to play and lots of shaded seating options. A lot of people come here to take maternity pictures or gender reveal photos. The only hassle can be parking if you're having a party here, but other then that, it really is a Miami treasure to me.  "
Hidden Gem!,August 2017,50,Alice Wainwright Park,Tanya0912,"Hidden gem!! The waterfront view is just gorgeous with the palm trees for lots of shades. There are benches, some picnic tables with pavilions, and barbeque grills. Great place for both kids and adults!"
Away from noise and crowd,April 2019,30,Alice Wainwright Park,rubemkrapf,"was there during the week... beautiful place, space for kids, close to the water, trees, shade... perfect for a few hours of relax. The avenue in front has no thru traffic, just people that live there. So you may bring your bike, run, walk...  You do not have a great view of Downtown Miami but probably this is not what you are looking for.... no food and drinks close by..."
"Nice for walking, exercising, activities",August 2016,40,Westwind Lakes Park,mwooduk,"I just found this park when checking out the free Baptist Hospital Zumba classes that are held here twice a week. Unfortunately the class room is small and there are always too many people for the class so it's hard to get in!   If I arrive early before class, I walk around the perimeter, there is plenty of parking, places to sit, shady trees and soccer and exercise classes going on.  Nice!"
Nice and relaxing!,September 2016,50,Westwind Lakes Park,Nani1108,The park is very nice. In a good neighborhood and it also has exercising machines and walking and running trails. It also has gazebos for rent and volleyball courts.
splash park!!,July 2017,40,Westwind Lakes Park,lalocadr19,"I went to a friend birthday party. The splash area it great for kids, lot of water fun. The playground is great for the little one and older kids. Park has a trail and to walk and has area to reserve for family festivities. No fee to park."
"6 Parks In 1, A Must!!",August 2018,50,Westwind Lakes Park,Adventure782815,"My one and only complaint, they have never picked up the phone."
OK,January 2017,30,Miami Convention Center,BigoBoca,"This is a large spot for conventions and there are many held here. I , personally prefer to park my own vehicle and this place makes that impossible"
"Dated, moldy, maze of a place",January 2018,30,Miami Convention Center,Motherofchildren,"This used to be a very nice venue but now, we found it difficult to breathe in there from the mold. In general it is very dated and not very clean. "
Miami Convention Center,March 2018,40,Miami Convention Center,387indy,"Miami Convention Center is downtown on SE 2nd Ave. Its well maintained, beautiful, and where they hold many conventions. It is where they have boat shows, car shows, home shows."
Hardly extraordinary ,May 2019,30,Miami Convention Center,StephenCr0ss,Large building that has served its purpose and perhaps needing an upgrade. Nice to see but not recommended as a “must see”.
Dimension center at the Hyatt,October 2019,40,Miami Convention Center,Hendersoned,Lots of rooms in a pretty nicely furnished the giant auditorium is showing it’s age but overall nice facilities some of the restrooms on the third floor look like they haven’t been remodeled since the 70s but everything downstairs is quite nice
Beautiful,April 2019,50,Fairchild Tropical Botanic Garden,chez442002,Every garden brings its own uniqueness when you visit them. This one was no different. We first did the little tram tours around the gardens to get an overview of what we were to experience. It was very informative and gave you the history of how the gardens came about. We were very fortunate to see so many beautiful orchids and other flowers as we walked the grounds. The butterfly garden was also a great experience. If you have the time and love flowers I would make this a for sure stop.
Beautiful gardens and butterfly house,April 2019,50,Fairchild Tropical Botanic Garden,JMar604,"Thoroughly enjoyed our visit to these gardens.  Although the tram wasn't operating that day, we were able to walk the whole grounds.  You're given a map and a ""what's blooming"" guide when you pay the entrance fee.  It was fun looking for and identifying what we were seeing.  The Butterfly house was well done.  Lots of butterflies and there were even hummingbirds.  Quite hot inside there but worth the heat!"
Fabulous gardens,May 2019,50,Fairchild Tropical Botanic Garden,Middlemiss,"There are 82 acres, but do not worry they have a bus/trolley going round giving a guided tour. Best to do this first, then you can chose where to go back too walking. There are water stations and two cafes to keep you going. Its trees many with flowers that delight the eye. You need nearly a day to do it justice. Good place for children to run round. Most of the hosts are volunteers with such enthusiasm."
Magical,May 2019,50,Fairchild Tropical Botanic Garden,Recursivecomet,I truly love coming to this place. My mother started bringing me here since I was a child and I remember thinking I was in a Magical Fairytale Land. And I still feel this way every time I come back. A must see when your in the Miami Area. They have several Special Events During the Year that are quite beautiful as well. So don’t miss out on this Amazing Place.
Perfect Cozy Small Church,June 2016,50,St. Raymond Catholic Church,OPSilver,Very pretty church and I personally love it.
Stroll Biscayne Bay,January 2019,50,Museum Park,805donaldk,"This January the cruise ship I took from Baltimore visited Miami.  On prior occasions South Beach was our favorite excursion.  With the weather in mind we decided to take a walk from the ship to explore a segment of downtown Miami.  Biscayne boulevard and the Freedom Tower are a short one mile walk from the cruise port across a auto/pedestrian bridge.  Our goal ultimately was Museum Park, an additional half mile down Biscayne Blvd.  What a great decision on our part.  The park offers several different paths to enjoy for shade in the summer and pleasant breezes in the winter.  The outer path goes along the bay giving views of the cruise port, MacArthur Causeway and the birds of the bay.  We ended our walk at the art museum.  Although we did not tour the museum we enjoyed the swing chairs on the museum patio and the hanging gardens around the museum.  On the way back to the bridge we to took a side trip to go to the Freedom tower circulator stop.  We rode the free circulator loop route around downtown planning places to go on future visits to Miami.  By the time we returned to the ship our exercise trackers indicated that we walked an easy four miles over 3 hours.  South beach is a good beach/bar destination but there is much more to enjoy outside of the beach."
"In spanish or english, BBB teatrical amusement available..",September 2018,50,Paseo Wynwood,Gustavo G,"I bought a US$ 20 ticket for a monologue called FARHAD. Simply amazing. The book was writen by a Pulitzer Prize winner, and the perfomer a young talent called Andrea Ferro, she made a powerful impression on the public and on me in particular. In adition, there was several short shows in spanish. After the shows you can go walking to a myriad of good restaurants. As the locals says: ""BBB"" Bueno (good), Bonito (beautiful) and Barato (affordable) !!"
Beautiful Peaceful  Place,March 2016,50,Maurice Gibb Memorial Park,heriot-b,"Beautiful  calming place to sit & relax or have a picnic, you can watch the boats on the bay or watch the world go by as you sit & think of the wonderful  amazing man park was named after Maurice  Gibb of the Bee Gees,  who recorded with his brother's  at the close by 1801  bay road studios, "
Historic Church,March 2019,50,Trinity Episcopal Cathedral,TheExplorerFamily,It was our tour guide who piqued our interest with the stories about the surrounding area.
nice stroll along the river and Miami Metromover system,April 2017,40,Miami Riverwalk Trail,iptelnow,otherwise it is worth a visit if you have 2 hrs to spend.
Quite and secluded,July 2016,40,Morningside Park,Miamismith305,"This park is located inside of the Morningside neighborhood (upper eastside of Miami)  and it faces the water. The park has a softball field, tennis courts, barbecue areas,  a boat ramp and kayak/paddleboard rentals. Dogs are allowed and it surrounded by majestic trees. Greta place to exercise during the weekend"
beautiful!!,November 2016,50,Morningside Park,lalocadr19,"This place is great to run, walk, or to bring your dog, it has tennis court, kids playground. It has beach view, sunset are the best. No entrance fee."
Very nice!,December 2018,50,Morningside Park,Shela01,"Hard for me not to find a place in Miami I don't enjoy. This park is kind of hidden, but very nice as it's on the water. It offers kayak and paddle boarding rentals so a good all around place that offers a few options for those of us outdoor types. Recommend!!"
Very nice park,January 2019,40,Morningside Park,HalClarke,"The park is free and offers many attractions. There are large grass areas and plenty of mature trees. There are ball fields, tennis courts, a boat ramp, fishing areas, playgrounds for both tots and slightly older kids, kayak/paddleboard rentals, picnic areas, benches, restroom facilities, and lots of space to walk, run, or relax. The water views are great across the bay to Miami Beach. At one time, there was a public pool. It's still there, but closed at this time. There's plenty of free parking. Dogs are welcome, provided you clean up after them. The Miami police visit frequently, adding to the secure feel. Hours are sunrise to sunset."
New Tennis Courts,December 2018,40,Morningside Park,backhand_city,The Tennis Center at Morningside Park just got a big make over. They even added one new extra tennis court for a total of eight.  It's first come first serve and a great place to play tennis in a tropical environment that only Miami can deliver steps away from Biscayne Bay.
Considering it’s a photography based location the lighting is terrible. ,August 2019,20,Unicorn Factory,Essextravellots,Entry price is steep too a family of four was $160 plus.... 
such a cool place,October 2019,30,Unicorn Factory,aventuresmelanie,"The idea is good, the decors are awesome, but the lighting is awful, so you need to play with your setting a lot after. But it's a really cool place. They offer the services of a professionnal photograph but it is expensive"
Unicorn,November 2019,50,Unicorn Factory,Kisachka,This place was so much fun. We had very good time. My kids and i Ioved it . I recommend everyone to visit.
Funnn for all ages,December 2019,50,Unicorn Factory,Roving607989,I don’t usually write reviews but I felt as though this place really deserved one. It was such a good time!! Came here with a few friends while visiting Miami and we had a blast. The staff is so friendly and attentive and the decor was something everyone should check out especially if you’ve got social media and like to post cool photos! If you’re visiting the wynwood area in Miami be sure to check this place out! Looks like it would be fun for kids too!
Hidden Gem in the Bird Road Art District,July 2016,50,Lincoln's Beard Brewing Co.,VictoriaC485,"There is such a good vibe at Lincoln's Beard Brewing Company from the moment you step into the place.  This  ""small"" brewpub located in the Bird Road Arts District in Miami, FL reminds me of a modern twist on old English pubs. It truly allows you the time to have great conversation while enjoying even greater craft beer. The brewery is in the process of ramping up production to have their flagship beers on tap full time.  I was told it would be in the next few weeks.  If you are lucky enough to be there when they tap pilot batches of their flagship beers or experimental beers (P. Swayze, Lucky Machete, Witch King, Monty Dreams of Barley, Mango Skyline), you are in for a craft beer treat.   The service is great and the staff is very attentive and knowledgeable.  They have recently added a permanent food truck to their beer garden area which has been a tremendous hit and pairs up nicely with their delicious craft beer.  They have weekly events to keep you entertained (trivia, karaoke).  If you are looking for a place to unwind, have fun, and drink great beer... Lincoln's Beard Brewing Company is the place to go!"
BEST FARMERS MARKET THAT I HAVE FOUND,August 2014,50,Coconut Grove Organic Market,tczig,"It's all good.  If you find yourself anywhere near Coconut Grove on a Saturday, go here!  Enjoy it and support your local organic farmers!   Remember:  No farmers, no food!!"
SOMETHING FOR EVERYONE AND THEN SOME,August 2014,40,Coconut Grove Organic Market,baird t,"A totally relaxing, entertaining, informative, and healthy activity for once a week, once a month or just plain a quickie.....typically South Florida version of the great American Farmer Market concept."
Applause for HistoryMiami in claiming this important archeological site,June 2013,50,The Miami Circle,Floridabluemacau,"If you go, look for a slip road that parallels Brickell and descends to the river. It is usually flanked by taxis. Turn left immediately off of Brickell in front of the Viceroy and drive down to the park."
A strange little historical spot,April 2015,30,The Miami Circle,Michael P,"Little to really see, nice vista beside the Miami River but you have to negotiate with the Viceroy hotel to park and apart from the historical connection with ancient Miami, it is not a well presented location"
Beautiful Place!,May 2013,50,Neighborhood Fish Farm,Bobby B,"This place is amazing! It's very underground and it's a shame not many people know about this place. There is tons of fish to choose from. There is no place ON EARTH like this place! The staff are nice, friendly and welcoming. The place is clean and organized! "
Great place for fish lovers,February 2014,50,Neighborhood Fish Farm,BetzJitomir,"I went there on 2/10/14. They are open to the public from noon to 6:00 pm. They have all kinds of fish that they breed and grow at very reasonable prices. Even if you are not buying it is worth going to look if you are a fish hobbiest. And despite what they say on the website, if you go in person and talk to Bob he will ship the younger koi and other small fish for you that are not listed on their web site. We were not leaving Miami for a week and he arranged to call me when I got back and send my fish after I gave him  my credit card number over the phone. Very friendly and helpful. Best of all it is free to go in and look."
That's Amazing!,April 2019,50,Unicorn Factory,M K,This is so cool!
Good time,April 2019,50,Unicorn Factory,Kisachka,Adorable concept!!! Awesome setting to capture the best Instagramable pictures. Such a fun place highly recommend.
So interesting!!,February 2014,50,Neighborhood Fish Farm,mommaroni,We were looking for something to do with our 7 year old for an hour before we had to meet family and stumbled across the Neighborhood Fish Farm! The girls that worked there were so nice to us and let us walk all around. I had never seen a fish farm before. Our son took about 75 pictures there! He was absolutely thrilled! Thanks for letting us hang out!!
You've never seen so many fish in one place,February 2014,40,Neighborhood Fish Farm,Jadeqt,It's a great place to find fish for the family aquarium. The staff is very helpful. Lauren was great and so gentle with our fish. Great place to take kids too.
Lovely place- fabulous owners,August 2014,50,Neighborhood Fish Farm,Lisa T,"This fish farm is a little gem tucked away in Miami. The owners are so friendly and truly love their farm and it's fish. They have years of experience and wisdom. This farm is a fun place to bring kids to see all sorts of fresh water fish and a great educational experience as well. Once on the farm, you will quickly forget that you are even in Miami!"
the aborigine,April 2016,50,The Miami Circle,TourGuide-Manager,The Miami Circle is a 2000 year old archaeological site that was discovered in 1998 during a routine archaeological survey.  The meaning of the carved stone circle remains a mystery but connects us to the people who inhabited this area until the arrival of the Europeans in the 1500s.
Art & reason symposium by rockers movement,September 2015,50,Museum of Contemporary Art,leonadezion,"The show was great, rockers movement always impress me with every show they do! It was a great idea to do a symposium at the museum. Place it's great. I will definitely will keep checking on future events"
far away from other atractions/ only a few pictures and paintings,October 2015,20,Museum of Contemporary Art,SÉRGIO S,"we´ve seen great paintings there, but only a few on that exposition. besides, the MOCA is far away from other atractions."
A big disappointment!,October 2015,10,Museum of Contemporary Art,JuanRivas,Do not go until you want to waste your time.
Global reflection in contemporary art,January 2016,50,Museum of Contemporary Art,Amed1,It was interesting and very good and had good global perspective despite it was not so comprehensive. Space and colors were very well arranged.
Bare-boned,January 2016,30,Museum of Contemporary Art,southmiamibeachbum,"I have heard that the museum is seeking a new site so perhaps that is why they only had one exhibit which was interesting, but it was a short trip so keep that in mind. "
Nice fresh stuff with come good prepared foods too!,November 2014,40,Coconut Grove Organic Market,KellyNew63,"Big selection. Even though it is expensive, the stuff lasts longer and is organic. Compare that to an item from the grocery store that goes sale just before it is about to collapse. I swear the spinach lasts twice as long as store bought.  You also get the old Grove vibe there with lots of funky people selling healthy produce, etc. There are also some unusual items you do not see around Miami."
Excellent ,November 2014,50,Coconut Grove Organic Market,claudiaalaix,"You can have delicious healthy food, buy clothes and get a massage at the same place! must try the chia ballz!!!"
Great Selection,July 2015,40,Coconut Grove Organic Market,KeithD16,"A little hard to find if you don't know your way around, but was very pleased we went.  It has some booths that sell other things, but the real gem is the vegetable and fruits they offer.  All kinds of selection, some I have rarely seen, and lots of specialty items.  Also have some pre-made items that were very high quality."
Bizaar,August 2013,20,Museum of Contemporary Art,jpseader,"Bookstore sell candy, tees and books."
Terrific Collection with Excellent Shows.,October 2013,50,Museum of Contemporary Art,mbeacher3455,"This museum has a terrific contemporary art collection. The curators here put on excellent shows. Although it's in North Miami (I wish it were either in Miami Beach or Downtown), it's worth the trip."
"Worth an Hour, Small but Focused",December 2013,40,Museum of Contemporary Art,MarkWBoca,"Tucked away in North Miami is a tiny, but worthwhile little museum, the Museum of Contemporary Art.  Rather than trying to cover contemporary art, the museum rotates its exhibits.  On the day we visited, the British contemporary artist Tracey Emin was the entire exhibit.  Although her work would not be everyone's taste, it has received a measure of acclaim throughout the world.  MOCA displays part of her work, a whole lot of neon signs plus an 18 year old film she did of her dancing after recalling her teenage sexual adventures and misadventures.  Yes, not everyone's taste in art.  But, that is art.  It was a worthwhile hour and worth the modest admission charge.  Free parking in adjacent public parking lots."
Very interesting museum,April 2014,50,Museum of Contemporary Art,DonnaFC,"This museum is a little out of the way simply because it was not in the same area as the rest of the museums in Miami, but it was worth the drive. The exhibit we saw was by Wangechi Mutu, a Kenyan-born artist who works with paint and collage mainly. It was a fascinating exhibit, the kind that stays with you and has you think about it long after you've left the museum. "
If you have an hour to kill in North Miami….,June 2014,30,Museum of Contemporary Art,BabsNMarty,"I've seen other interesting exhibits in the past, and I'll go back, hoping to catch something new and exciting."
Great place to spend a few hours!,August 2016,40,Lincoln's Beard Brewing Co.,TravelChica2129,Will be back and will bring friends!
There's a brewery here?,September 2016,30,Lincoln's Beard Brewing Co.,559jas,"I really enjoyed the atmosphere. The staff was cool and the crowd seemed quite laid back. I was a little disappointed in the selection of beers on draft. I visited their website before I went and hoped that I would have the opportunity to try all the beers. Unfortunately, not all beers were on tap. I had the Witch King Stout. Cool name but the beer wasn't very special. My wife had the Irish Red and it tasted average. I also had the Swayze IPA. This was the best beer I had there. They do have some nice options on the pours. My wife enjoyed the smaller pours while I enjoyed the larger ones. And the price wasn't bad either. I'd like to return and try the Lucky Machete Brown, the Barrel aged brown and the double IPA. Hopefully when I find myself back in the neighborhood, I will have the opportunity. "
great time!!!,December 2016,50,Lincoln's Beard Brewing Co.,lalocadr19,"Great time celebrating friend birthday in the private area upstairs. Friendly staff, cheap local made in house. Delicious food truck. Great music and ambiance."
Went for a pet event to try this place,February 2017,40,Lincoln's Beard Brewing Co.,sbrameister,"Saw they were hosting a pet event and decided to have a mini date night with my husband and take along our 13 year old Siberia Husky/Malamute Mix (Alusky), Nanook. Arrived around 7:30 pm, place was jammed packed, we were lucky to find parking because my husband is a disabled veteran so we have a handicap tag. Otherwise I think we would not even try to park. We actually hung out on the back patio, the inside felt a little overcrowded, I guess we are not into big crowds anymore... however, people were enjoying themselves and hanging out with their furry four legged creatures. Try their beer, was excellent. Encounter a couple of friends. Didn't eat anything, we had dinner earlier and were not hungry, however, they mentioned that the food truck parked in the back patio had some delicious Tacos. We will plan to come another day, it's nice to find a local brewery with good crafted beer. Since we didn't know how this place was at first, we didn't go with our 14 year old son, he actually was attending student services and activities at church, so it was a win win. It's a casual place, we saw actually people with very small children (3,6 years old), I would not think to take small children but to each its own, not judging but it would not be my option. The host different events during the month, we are learning more about it. But definitely will come back, when it's not too busy. They have live music on Thursday and Friday. I like to support small businesses."
Such a beautiful place,December 2019,50,Unicorn Factory,O2373WH_,"Had an amazing time! Everything was perfect! Very cool place. Nice, professional workers. Each room is different. Good place for kids. Definitely will come again."
Delightful walk,December 2017,40,Miami Riverwalk Trail,farogisi,"Delightful walk through the palaces of the Miami residential area. Recommended in the evening hours, with the lights that reflect on the river."
Stay away,December 2014,10,Neighborhood Fish Farm,BiminiSea,terrible sick fish poor quality and expensive prices. Never to go back to this place. Total rip off.
If you are around it's OK.,October 2015,40,Neighborhood Fish Farm,ferro01,"It was a pleasant surprise to find something near to take the kids that didn't cost a penny and the kids enjoyed,  now I might have to go back to buy an aquarium!"
Great Place,September 2016,50,Neighborhood Fish Farm,terry p,I bought fish here after learning about the place from my wife.  The fish were a great price and are doing FANTASTIC!!!!  They are happy campers!!!!
Shopping for fish,August 2018,50,Neighborhood Fish Farm,camekac,"First off if you are into fish and building an aquarium, this is the place to visit!!! They have a large variety of everything you need.  The staff are very knowledgeable, nice, and caring!!!"
Great place ,May 2019,50,Neighborhood Fish Farm,eliorojas,"They are knowledgeable, great service and extremely nice , there aquatic fishes look healthy . I’ve been coming here for over 25 years . "
It was okay,March 2018,30,The Miami Circle,Ahems,A small circular archaeological site stuffed in between the river and Hotel district. Not much to see other than information signs and dogs running in and out of the area.
"Dont bother - bad location, bad exhibition, awful",June 2011,10,Museum of Contemporary Art,Blush_123,In Europe this wouldnt be allowed to be called a museum
Dissapointed,August 2011,20,Museum of Contemporary Art,Mike2008Roatan,"Having been to the Salvador Dali museum in Tampa a few days earlier, I found myself wondering in this museum wondering where the art was?"
Great small museum,December 2011,50,Museum of Contemporary Art,pentimento123,Saw the Mark Handforth exhibition. A well curated and thoughtful show. 
great contemporary art Museum,January 2012,50,Museum of Contemporary Art,bgerber948,the museum is relitively small.
Love the Openings!,June 2012,50,Museum of Contemporary Art,Alison K,"I highly recommend going to MOCA's Thursday night show openings. I've been to a few now - great food, fun art, the people are enjoyable, and the staff is knowledgeable."
Miami's oldest history,May 2018,50,The Miami Circle,Arielfl,Today the area around the circle has been turned into a park. The circle itself is 85 percent intact and safe under the dirt. You can see it's outline from the ground. Signs explaining the importance of the area have been added. There is no parking at this site which is a problem if you want to get out of your car and see the site. You risk having your car towed if you attempt to park. It is also difficult to find. You have make a turn like you are pulling into a hotel and cross the hotels traffic until you can make it down a difficult to see side street. All of the aggravation to find the circle is worth it once you step foot on this important historical site and take in the same view of the water that the ancient people did thousands of years ago.
Important piece of history,December 2018,50,The Miami Circle,Sam A,"Incredible story about the preservation of this ancient landmark, as told in the bilingual signs around the area. High rises tower over this ancient site, but the past still remains. An important part of native Miami history!!"
Archeological site,May 2019,40,The Miami Circle,FTMDave,On the other hand there isn't a great deal to see.  The area is a park with two of the lawns being circular to match the archeological remains.
The littlest archeological dig.,September 2019,30,The Miami Circle,Sayeedac1,"A wee place but lots of history and archeology. A circle in a small park, surrounded  by highrise buildings. Fascinating reading of the signposts. Glad that the people could preserve this significant historical site from the predators. "
Lovely church,July 2017,40,Trinity Episcopal Cathedral,TheRealGelatoGirl,"...with really nice mosaic and colonial architecture. If you are nearby it is worth going in, but if you live in Europe, there are more impressing churches there. "
Holy Eucharist & Sermon,July 2017,50,Trinity Episcopal Cathedral,ndburke,Excellent liturgy accompanied by fantastic music. The organist manifested great skill in his art during the Mass and we sat afterwards and listened to his postlude from music written by Bach.  
OK,December 2018,30,Trinity Episcopal Cathedral,BigoBoca,I parked in front of this church while attending Art Miami. It looks like it’s been refurbished on the exterior and it looks OK. Never went in. 
Great Church and Fantastic Evensong Service,January 2019,50,Trinity Episcopal Cathedral,11douglast,We were visiting Miami on a weekend and went here as it has some common design elements with our church in NYC as it incorporated elements from a single church in southern France.  Beautiful church redone in 2004.  Inside and out very nice.  The chorale service was excellent and they do it every two weeks on Sunday night.  Moving serivice and nice people.
A diamond in the rough,December 2017,40,Museum of Contemporary Art,robbar13,"MoCa of Miami is filled with great art and the layout for it fits the pieces well. The only downside is the size of the building, I really wished it was bigger. To me, the best part of this museum is the VR art section, it was truly a new experience."
Wonderful Museum for adults and children,February 2018,50,Museum of Contemporary Art,Faith O,Our family loved this museum. We enjoyed all the art we saw and also the lay out and ease of getting around in a very relaxed setting. It is very open and easy to navigate even with small children. With a great location. Parking was easy and there are so many shops and places to eat within walking distance
Monarch Art Exhibit,June 2018,40,Museum of Contemporary Art,gsimpruiz,Interesting exhibit based on artists from the migration path of the Monarch butterfly- from native  Americans throughout the Midwest down to Mexico.
Meh,July 2018,20,Museum of Contemporary Art,Mat C,Honestly was disappointed. A $5 entry per person for a rather dull exhibit. There are far better museums and art galleries in Miami. 
Great Exhibition!,October 2018,50,Museum of Contemporary Art,sarird2018,Charles Gwathmey has taken design to a whole new level - the architects building expansion and design is  wonderful for kids and provides an enjoyable exhibition for all.
"Good option to buy fresh, organic produce if you live in the area",August 2017,40,Coconut Grove Organic Market,WDUK,"I have been here a couple of times now. It's one of the better farmer's markets in the area with a wide selection of fresh produce. Seems like a lot of the produce is from the same farms that Whole Foods carries, and is not local, however the produce is fresher than what you would buy at Whole Foods and that's why we come here. They also have a wide selection of specialty items produced by Glaser Farms including ice-cream, drinks and prepared food. Great quality although expensive especially if you need to eat a lot of vegan food to fill up and feel like you've had a good lunch! It gets very busy under the produce tent with lines of people waiting to pay for their items, but the checkout is efficient and it seems to move quickly. They also have some smaller vendors outside the main produce tent, including lots of vegan food options."
Decent for vegans,December 2017,30,Coconut Grove Organic Market,lucycan,Its smaller than we thought.  If you aren't vegan I would not really bother unless you live local and want to pick up some fruits and vegetables for the week.  We only got juice which was great.  No meat or cheese or eggs in sight.
Vegan’s heaven!,February 2018,50,Coconut Grove Organic Market,nabeab,Only Saturdays and a good lunch option. Worth going!
A little something for everyone,August 2018,50,Coconut Grove Organic Market,MichaelD5164,"The Coconut Grove Farmers Market a neighborhood staple for decades and one of the area's best-kept secrets, there is a little something for everyone, specifically catering to the vegan, vegetarian and/or organic crowd. Many different local food vendors with unique and varied offerings including nut-based, plant-based, dairy-free, vegan desserts, etc. etc. The organic produce selection is more complete than any other farmers market that I've been to. There are other intriguing products and services at this farmers market, such as numerous massage therapists, antiques, jewelry, clothing, extra virgin olive oils and balsamic vinegar from Italy, too! If you've never been, you should check it out. It's every Saturday from 10AM to 6PM."
Overpriced and Uninspiring ,January 2019,30,Coconut Grove Organic Market,Sean O,"I have been to numerous farmers markets from Miami to New York City and this one is lame with a capital L. It's the same produce and boho chic garb week after week. There's very little that's seasonal or artisan in the place and it's all overpriced because someone stuck an ""organic"" label on it. "
Great Atmosphere and Brews,December 2018,50,Lincoln's Beard Brewing Co.,ssulliv5291,"I went there for a friends birthday party and it was a blast. The beer, food, and atmosphere were all very enjoyable. The place is fun, with cool and interesting art all around. The staff was also very nice."
Great spot to hang and have good beer,December 2018,50,Lincoln's Beard Brewing Co.,kellybee104,"Have gone multiple times and have always had a great time here!! The vibe, people, and beer are great! "
Beautiful & Unique Church ,March 2016,50,Trinity Episcopal Cathedral,beckaj01,A beautiful church worth a visit in Miami. We divide red this church as we liked out of our Marriott Hotel room window - what a grand view. Of course we then had to walk over & see close up - so very nice. This church is well kept & welcoming. 
Beautiful!,March 2016,40,Trinity Episcopal Cathedral,jroddenberry,This cathedral is worth a stop.  Beautiful stained glass and mosaics.  This is an open sanctuary so be respectful.
Historic Episcopal Cathedral,March 2016,50,Trinity Episcopal Cathedral,TLMD,"This is the seat of Episcopal diocese of South Florida so it's a very eclectic congregation; however, it's a beautiful building and has undergone a lot of renovations over the past few years.  Please drop in for a visit if you are in the area!"
Easter Sunday service,March 2016,50,Trinity Episcopal Cathedral,615louisel,"This is the second time we've attended this cathedral for Easter Sunday services. It is a beautiful cathedral with an inclusive and welcoming culture. It is "" high Episcopal"" with incense and chanting and an awesome choir. It is a wonderfully diverse parish , truly representative of Miami. The church itself is awesome, mosaics from Italy, beautiful stained glass and a stunning altar. We were lucky and the Bishop presided over the service. If you're looking for a church in Miami, give this parish/cathedral a try. "
A great example of classic architecture in a young urban bayside location,February 2016,50,Trinity Episcopal Cathedral,Karen M,Three services on Sunday and noon day services through out the week. Clerics and staff are always friendly and knowledgeable. There is are lots of community cultural events. Check their website for a full listing of events.
WARNING,February 2019,10,Lincoln's Beard Brewing Co.,Road5280travel,"Also, perhaps a little too kid friendly, or maybe parents should supervise them more. Running children might spill my beer."
Unattended children!!??? Why?,May 2019,10,Lincoln's Beard Brewing Co.,jessfiallo,"So guess what guys, I don't recommend Lincoln's beard brewing to anyone. Unless you are 6 years old, thennit is the place for you!"
Super rad local brewery,October 2019,50,Lincoln's Beard Brewing Co.,The_travelingkitten3,"I absolutely love the vibe of this local Miami brewery. The employees are always so friendly and the beer selection is great. I am a huge fan of the Lincoln's Best Ale as well as Avenge Me Red. Jim always goes above and beyond when he's slinging brews! I would keep an eye out for the events taking place here. There is always something going on throughout the week including local music, vendor showcases, and not to mention karaoke wednesdays!! This is a great spot to hang out and enjoy company and some good brews."
A lovely little spot.,July 2018,50,Maurice Gibb Memorial Park,HalClarke,"I've been to this little park a number of times and always enjoy the ambience, a little quiet respite from the to-do of much of South Beach. It's named for a late BeeGee... and it's free."
