review,travel_date,place,title,usr_code,rating
"This is a Disciples of Christ denomination church.  It is a diverse congregation, although predominantly Caucasian.  Our new pastor, Pastor Virzola Law, is an African-American female.  She is a dynamic preacher, full of love for everyone.  The Associate Minister, Morgan Parks, is a Caucasian male, a great preacher also.  We are very blessed to have 2 such wonderful ministers.  Additionally, the contemporary service has a praise band named A Wing and a Prayer.  They are excellent!  And the traditional service has a world class choir - best in the city - led by Chris Nemec.  Wonderful church and wonderful congregation.  Great place to go whether you are part of a couple, have a family, are alone, or with friends.  All are welcome!",April 2016,Lindenwood Christian Church,Great Church/Great Pastor,Cindy D,50
"Soulsville is a neighborhood in Memphis where the once famous Stax records used to stand on McLemore Avenue and now exists as a museum. The name ""Soulsville"" is similar to Motown records in Detroit Michigan being known as ""Hitsville"" for the many hit records produced during its Hey day. Now you can see where artists like Otis Redding, the Staples Singers and Isaac Hayes recorded hit records for Stax in Memphis. The old Soul Train light up dance floor is here. Really cool. Isaac Hayes blue Cadillac is another artifact in the museum. A fun and interesting place to visit. ",September 2014,Soulsville,Historic to Soul music,0221Serendipity,40
"I  practiced taking Panoramic Photos with my new iPhone, so Viewers can enlarge the pics & see more “stuff” ",March 2018,Antique Gallery,If You’re Looking for 20th Century Items . . .  ,ChanEvan,30
"We went there to find one of my wife's grandfathers, a Civil War veteran.  There are so many graves here.  Must be 10 or 20 thousand.  So many of them are ""Unknown Soldier"" and it makes you stop, pause, and think about what they went through.  It makes one very humble.",July 2015,Memphis National Cemetery,Awe-inspiring,wwarren777,50
"Our AirBnB owner told us of Crosstown Brewery. We finally got there Saturday. Beautiful place w a ton of shops, cafes etc..on site. Wonderful beers and the Logan Hanna trio playing some really cool and listenable jazz!  Highly recommend",July 2019,Crosstown Brewing,Memphis’ finest Ales,Alongfortheride47,50
Very kool place. Lots of memorabilia and history of the blues. Guides are there to help out if you need or want more information.  When you leave you are in the middle of the action along Beale Street.  Very fun place. Just wished they had some live music when we toured. ,November 2015,Beale Street Blues Museum,Beale street Blues,Gailforce2000,40
Stopped in while traveling Beale and was overwhelmed by the amount of memorabilia packed in to a pretty small space.  You could tell that the folks working there wanted to share stories about pieces throughout.  Would recommend stopping in for anyone who loves music.....Blues or otherwise,October 2016,Beale Street Blues Museum,What a treasure trove of music memorabilia,DRPMI,40
Nachos? ,September 2018,Memphis Cook Convention Center,Memphis international auto show ,Itsjacquelinew,50
"Great service from All employees, restrooms clean big place plan on walking. Has escalators though! Food wasn’t that good. Exspecilly breakfast",October 2018,Memphis Cook Convention Center,Service,Yfz45067,40
I came for the st. Judes expo and loved the building. Lots of cool local art and easy to get to from Beale street. Parking is located close by and the area is nice.,November 2018,Memphis Cook Convention Center,Artsy design ,kevinparsakia,40
Very nice convention center. The cannon center is a great place for music as I was able to see a number of high schools play a wide slection of contemporary music and the sound was great. Also attend a convention so it was nice the trolley runs in front. Just steps from the Sheraton hotel and 2 block walk from the Crown plaza hotel.,February 2019,Memphis Cook Convention Center,Traveler,Seadpnedtraveler,40
"This may become a very nice venue, but right now it really suffers from construction / renovation activity.  Dusty, noisy, and facilities are oddly configured to work around the construction. On a positive note, staff have been very friendly.  I look forward to the finished product. ",June 2019,Memphis Cook Convention Center,Renovation ,TennesseeTony,30
"It costs to go upstairs and look at the museum, but I think it was really worth the price it was a very nice place and I would recommend It to people looking to learn about older musicians and even some newer ones. The downstairs has a gift shop and the Hard Rock Cafe gift shop and cafe. Beautiful place!!",July 2017,Beale Street Blues Museum,Very interesting ,tiarose h,40
"Loved going here, all of the pictures of Famous blues singers and their history, plus you can pick music and go into the booth and hear it. ",September 2017,Beale Street Blues Museum,Very informative.,Toni N,50
I visited almost all of the museum related museums in Memphis.  This one and Stax were my favorites along with Sun Studio.    Take time to duck into the rooms and listen to some great Blues.,July 2019,Beale Street Blues Museum,One of the Best Museums in Memphis,Lori H,50
"I had a friend visiting for the weekend and she suggested coming here. So glad we did! We drink a lot of vodka, but had no idea how it was made. The owner gave us a tour of the facility and taught us the entire process of how water and corn is turned to great tasting alcohol. We even got to label, fill, and cork a bottle. I will definitely add this to the list of things to do with out-of-towners!",August 2015,Pyramid Vodka,Personal Tour of a Great Tasting Vodka,susanalcauskas,50
"Gave it a 3 because who could go less after getting some free vodka but it would have been nice to hear about the company and where they are going and maybe get a little tour. But then again, this is typical service in Memphis.......",August 2015,Pyramid Vodka,Self Guided Tasting,jim4168,30
Highly recommend this.,August 2015,Pyramid Vodka,Interesting and Informative,perj44,50
"This museum is worth a couple hours and featured very easy parking in the area.  We explored the old building,  as well as touring the exhibits accompanied by very attentive and informative staff.  We are train/transportation buffs and this is one of the type of places we like to visit wherever we might be.  We learned the trolleys weren't running & that the city must decide whether to restore or abandon them.  If they restore we'll come back & ride.  Fee is very nominal.",June 2014,Railroad & Trolley Museum,Old Railroad station building saved and getting new life,Ron S,40
"It is a pretty small museum. For it's size, they has some nice set ups. The folks there were very friendly. They do have plans to expand the museum, which may make it a decent size. It can be a fun place for kids. The only type of parking available is street-side, and there's not a whole lot of it.",July 2014,Railroad & Trolley Museum,Work in progress,f1999308,30
The museum was impressive with the history and displays. A lot to be learned about both the railroad and trolley. Took a trolley ride and oh my! What a relaxing way to see Memphis!,August 2014,Railroad & Trolley Museum,Fun!,Sweetsindee2226,50
"We visited for a dance competition and everything was easy to find and super clean.  I loved all of the windows and views from where were assigned.  We snuck out for lunch and there are so many places to eat in walking distance.  We didn't get a chance to ride the trolley, but it was a nice walk with lots of things to see.",May 2017,Memphis Cook Convention Center,Love the location,Cheralyn K,50
Not a bad place for a card tournament event.  Spacing here was rented out and I was pleased with how everything was.,October 2016,Memphis Cook Convention Center,"Nice location, venue",Paul B,40
"I have gone to several exhibits they have had on display at the Center and they have all been really nice. The layout is nice, the gift shops were well stocked and for the most part everyone was pleasant to work with.",August 2016,Memphis Cook Convention Center,I have visited numerous shows they have had on display at the Center.,Mary F,50
"That sums it up. After a couple days I noticed the cleaning practically stopped all across the venue. The ceiling was falling apart, bathrooms in need of repair. I guess if you need a cheap deal on conventions here you go.",August 2017,Memphis Cook Convention Center,Old,rusty_fwg,30
"I think the hallways look a little dingy, but clean. The auditorium is very nice, the bathrooms were clean , the desk lady was super. But overall it just looked like it needs some Tlc, .",August 2017,Memphis Cook Convention Center,Needs some work,Largesarge,30
This small Museum is very neat to go through for kids & adults alike. R R History and several toy train lay-outs tell the story of RailRoading. Located in the historic old Union Station R R Station. Worth the trip and reasonable priced. Ride the Trolley  down there and get a better feel of the Museum.,June 2014,Railroad & Trolley Museum,Neat lil' Train Museum,Henry P,50
Great little museum with enthusiastic staff!  Interesting artifacts though the stars here are the model railroad and model trolleys.,November 2014,Railroad & Trolley Museum,Model trains and trolleys - fun,BobTravelSFO,40
 It's something fun to do as a local or if you're just visiting..... ,July 2015,Pyramid Vodka,good time!!,KDberry,50
      ,July 2015,Pyramid Vodka,SatisfiedSims,BobbySimsJr,50
I was surprised by the smoothness of the vodka. And very impressed to learn that it was manufactured right here in the heart of Memphis by four natives. I will definitely support.,July 2015,Pyramid Vodka,Memphis Best kept secret,msssfarmer,40
Great experience.  Very friendly staff. Really interesting to see the grain to glass process. The most fun was labeling my very own bottle.  Exciting to hear about the new label. Looking forward to watching the company grow.,July 2015,Pyramid Vodka,One to Watch,kyjordan,50
"I don't care to shop like most females BUT the atmosphere this ""square"" provided was very relaxing and enjoyable.",March 2012,Court Square,"Very nice, clean and kept up",Fishingqueen27,50
"If I was rating just on enthusiasm I'd give 5 stars, but they only just opened so as yet they don't have a lot of exhibits.  My son and I are rail fans, so we had to stop here and check it out.  They have a good spot in the train station and have some ambition to add new features as time goes on.  For now, they have some model trains and other things, and a large scale model of a steam train (it actually is a functioning miniature steam locomotive.  My son was allowed to sit on this, and he could control the model Thomas train.  That is fairly rare for museums like this, most of the time they just run the trains and you watch.  They had a nice signal display that you could also control along with historical items.  Their space includes a long tunnel under the station for future exhibits which they were nice enough to show us.  I think if they get an interesting centerpiece exhibit it would go a long way to complete the experience, but for now my family and I did find value in stopping in, especially if you have interest in trains.  They have limited hours for now so check before you go.  We bought a DVD just to give them some added support.  As always, funds dictate how much progress can be made and we hope they do well.",May 2012,Railroad & Trolley Museum,"Enthusiastic group, just starting out",Andre B,30
"The people who work here love trains and this is a young museum in Memphis.  If you like trains and talking about them this is the place to go.  It is small but the entry fee is very reasonable.  I think I'll be stopping in just to monitor their progress.  They have a fundraising opportunity where you can get a Kroger card that contributes to them so I did that as I look forward to visiting again.  I first heard of this area of town from my grandmother who took the train so the history of the station was a special story to hear.  They are also collecting things from days gone by that have to do with train travel such as clothing and suitcases used. They are located street level of the Central station so you could also time it to see an Amtrak train.  There is a bridge near Martyrs park where you can see trains cross the river.  Like I said, nice to like trains.  It is easy to find free parking nearby or take the trolley or MATA bus.",July 2012,Railroad & Trolley Museum,"What a bargain, especially if you like trains.",SubicChick,40
great place to be able to train watch and I cant wait to see their new layouts,December 2012,Railroad & Trolley Museum,excellent railroad museum,lordstarr,50
"We have been to this building for many different functions over the years, the most recent reason was a high school graduation.  The building is old and made mainly of concrete, and it definitely shows its age.  However, it is well maintained and serves its purpose. The restrooms are clean, the staff is pleasant, and there is plenty of parking.",May 2016,Memphis Cook Convention Center,Graduation,Evelyn C,20
Nice venue. Did not explore all room venues. There was enough parking. Best to come in at Front street no matter what your GPS says. ,May 2016,Memphis Cook Convention Center,Went to UT graduation here,Harris C,40
I just worked a event at this convention center from 8/17 to 8/21. This convention center has to have the best staff I have ever seen. Not only where they always present you never had to ask for anything. The entire staff was constantly asking if you needed anything and if everything was alright. Great job folks.,August 2016,Memphis Cook Convention Center,Staff,Kevin B,50
I have attended many many events here.  Its a good place to go to truly get the downtown flavor of Memphis.,September 2016,Memphis Cook Convention Center,Great to visit for business or fo rpleasure,BarbaraGleeton,50
"I have attended many breakfast and lunch meetings in which food was served. The food and service was very good. Lots of space. Also, have attended many dinners and banquets there -- perfect location for both. Many, many meeting rooms are available for conferences that need rooms for break out sessions. Excellent facility. Lots of parking spaces.",August 2016,Memphis Cook Convention Center,"Location for major meetings, banquets, etc.",dalejjones,50
Title says it all.  Great place to rest while taking in downtown.  Classically laid out park with heritage fountain.  Too many bums hanging out - pan handling - noisy - police had to kick out two drunks while we were there.  Unfortunate.,May 2012,Court Square,Nice Park - too many bums hanging around,tp21-5649,20
"on a cross country trip with my family and stayed here for a night.  Customer service was outstanding, bed was very comfortable, awesome location, well light parking, breakfast was the best we've had on the road and the shower had great water pressure.  The front desk attendant signed us up for the rewards program to help us save a little money, we wouldn't have known about it otherwise.  When we come back to Memphis we will definitely stay here again! ",May 2012,Court Square,Would stay here again!,Rlbee,50
See review for Blue Plate restaurant. Yes the park is sweet ( after the night people are chased off) but the real draw is the Blue Plate. It is only a short walk from the Peabody or other hotels and a must for breakfast.,October 2012,Court Square,2 words-Blue Plate,TaylorMemphis_TN,30
"Imagine with, you are traveling the narrow roads of Italy, looking for the most obsure Grappa, a vineyard where the a little old Italian man describes the taste of the land infused in the grapes and distilled into the incedible Grappa you are sampling. Now carry that detail to Memphis and meet the brothers of Pyramid Vodka, men who know every nuance of ingredient and want to draw from the furtile farm land of the Mississippi River to enhance the complex flavors in their vodka. You can taste the difference. It's vodka with a back bone. Enjoy.",September 2015,Pyramid Vodka,Distillary with a local focus,angelawarteskahl,50
"I have never been to a Vodka Distillery. We were on vacation and was interested in doing the Tennessee whisky trail. I googled the possibilities of the various locations and found Pyramid Vodka about an hours drive from where we were staying. Needless to say, my choice of an ""adult beverage"" is vodka and lo and behold, we went. Very, very informative. A small but hopefully growing company so I will be able to buy their vodka in my state. I had a small taste at the distillery and was surprised at the difference in taste from other vodkas. I did purchase a bottle after the tour and was glad I did. After I got home, I sat down with an ample glass of the liquid gold!! A very unique taste. A taste that is not as bold as other spirits, it goes down easy and is very satisfying. I thought I would share my Pyramid Vodka with my friends but ""I will not"". It will be all mine. I have other vodkas that I offer them. ",August 2015,Pyramid Vodka,Unique learning experience.,sammck_2000,50
"Beautifully kept up park area.  Very nice during the day--horse drawn carriage rides, trolley, but as the evening rolls in, so do the seedy characters and bums.  Great during the day, steer clear at night.",April 2014,Court Square,"Beautiful park, seedy after dark",Wolfpak5,40
"HOWEVER I would not recommend walking through this park on your own after dark. It is quite seedy, and if you can avoid it I would",August 2014,Court Square,Gorgeous Little Park,Zoe S,40
"Not much to this place.  Sure there's some historical value.  There's also homeless people hanging out, too.  We enjoyed feeding the squirrels and birds.  You can purchase squirrel food at the Peanut Shoppe.  The squirrels are very friendly and will come right up to you.",January 2016,Court Square,Squirrels!,SwissMountainDog,50
"A beautiful yet small park. It was located just across from our hotel. It is interesting at night. Food vendors come in during the day, if you are in the mood for shaved ice, coffee, or other munchies. Most of what you will see are joggers and dog walkers. However, you may run into a pan-handler or two. Fountain, flora, walkways and gazebo are quite nice.",February 2016,Court Square,Nice small park across from hotels,Patty L,30
Nice park to rest cool breeze fun to watch people go by nice shopping near by.  Sat on benches and enjoyed watching others.  Nice walk and informative ,April 2016,Court Square,Nice park,Raretravelo,40
"We were very impressed with this little train museum.  It was full of information, displays, hands-on exhibits, and obviously trains!  My husband, young son, and I were all very entertained while there.  The staff was very kind and knowledgeable.  It was a nice break in our travels.",November 2015,Railroad & Trolley Museum,My son was overwelmingly excited!,Noteworthymom,50
Lovely spacious convention centre overlooking the missippi . Worth a visit as you can also pick up a great deal of information which is worthwhile ,June 2015,Memphis Cook Convention Center,Interesting ,263396,50
"I been going to the cook convention center for years. Although I think it still need to be bigger so we can have more conventions here in Memphis, it is still a good place to hold different events.",May 2015,Memphis Cook Convention Center,My niece resently graduated from the cook convention center.,Kischa F,10
"I have attended and used the venue several times. The staff is helpful, but the entire facility needs even more of a face lift in terms of technology, room decor and overall space.",September 2014,Memphis Cook Convention Center,Been there done that...,hideotakamini,30
The City of Memphis should be ashamed for allowing this horrid facility to be used as a place to celebrate the  crowning point for our high school seniors.,May 2015,Memphis Cook Convention Center,"Stop using the Cook Convention Center In Memphis, TN. for high school graduations.",GraciasDGreat1,10
Went here for car show. Not an easy place to maneuver. Seems very old compared to other cities I've been to for car shows. Not that impressive. Needs a renovation. ,January 2016,Memphis Cook Convention Center,Car show,RalphCIII,20
"The volunteers were very friendly. Gift shop had some nice gifts, not too expensive, doable. I was very interest in the HoBo signs. ",May 2016,Railroad & Trolley Museum,Train visit,Beachgoer86,50
The rail and trolley museum is a fascinating stop on Main Street for train lovers. Kids really appreciate the model trains and they have a space for parties. ,May 2016,Railroad & Trolley Museum,Rail day! ,roquitac,40
"This is a really great small museum with something for all ages. It is chock full of railroad history, some of these exhibits are one-of-kind.  What is especially nice are the four electric train layouts, N Gauge; HO Gauge Thomas the Train with all his locomotive friends; a beautifully constructed scenic HO narrow gauge railroad;, and a city scape layout with 2 trolleys running through the city. There is a train simulator for young engineers. There are working signals that can be turned on and off by visitors.  For the youngest visitors there is a room with wooden train layouts for kids to play with.  There is also a nice gift shop. .",June 2016,Railroad & Trolley Museum,Great Museum for Railroad Fans and Kids of all Ages.,JT_Travel_Log,50
This is a great way to spend an hour or two while in downtown Memphis.,November 2016,Railroad & Trolley Museum,Interesting History Lesson By Dedicated Volunteers,CarolinaGypsy,50
"This is the first time trying out a mini brewery in town. Tried 2 flights of beer each having 4 tastes , some good some not so much. they had a live band playing which was very soothing and made the atmosphere pretty relaxing. no food available inside but have a food truck outside the brewery with limited choices of food.",July 2019,Crosstown Brewing,Leisure Time,offthepathyatri,40
Just went in for a couple beers. Excellent choices. They had a food truck outside and a band playing inside.,October 2019,Crosstown Brewing,Good Beer,SeattleParrothead,50
I came here with work colleagues for a beer on a Tuesday evening.  They have a relatively small selection of beers but all were at least good.  I had their pale ale which I liked quite a bit.  The Traffic IPA was not hoppy enough for me.  Wait staff was very friendly and accommodating.,October 2019,Crosstown Brewing,Solid brewery,Scott319,40
For my first visit I was fairly impressed with this brewery. The staff were extremely friendly and the atmosphere was very nice. Tried a flight of beers and was impressed with the flavors of each and every beer. I also tried the new raspberry wheat which was so good I bought a 6 pack and was told I just bought the first one every in the history of the brewery. I would highly recommend if you like craft beers and want a nice laid back relaxed place to go and enjoy good beers.,October 2019,Crosstown Brewing,Pretty nice brewery,TwoTimes81,50
Very nice job to all those who work there. Your pride in your work shows.,October 2016,Memphis National Cemetery,A place of dignified reverence for heroes,mjlarivi,50
Buried the former husband of a friend. Staff was very helpful. Traffic is well ordered and access is convenient.,August 2017,Memphis National Cemetery,"Solemn, respectful, reflective, peaceful",mjlarivi,50
You need to see that place if you are in Memphis. Marvelous and amazing atmosphere. Feel the souls....,August 2018,Memphis National Cemetery,"Feel it, live it...",Umutguzel,40
Memphis! Get with the program! Knoxville and Chattanooga have better convention centers ...and Nashville's new center should embarrass you! Who's in charge of this place?,May 2012,Memphis Cook Convention Center,What an awful excuse for a city Convention Center.,AGM W,10
"My daughter played in the youth symphony and the concert was great. The convention center is very nice but the parking is a bit tough,",December 2011,Memphis Cook Convention Center,Great concerts,Dave R,50
"It was as usual, a long walk from the room at the Marriot.  It seems like there was alot of unused space within the convention center.  Seemed like they had plenty of meeting rooms and such, but the walls were thin and we could hear the others laughing, talking, clapping, etc.  Other than that, it was okay for the conference. ",July 2012,Memphis Cook Convention Center,Nice for business meetings,dbutler1413,30
Been here for several conventions and they always do a stand up job. You do have to deal with downtown parking but that is to be expected. Overall I always feel very safe here.,July 2012,Memphis Cook Convention Center,they do it right,RAChampeau,30
"My wife and I attended the L2L Convention at Cook Convention Center over Easter weekend.  It is convenient access off of I-40.  We stayed at the Marriott Memphis Downtown, which is attached to the convention center by a skywalk.  The facilites at the convention center are good, although I noticed that in the adjoining rooms where we held competitions  there was noise that bled through the walls.   Otherwise, the facilities were more than adequate.",March 2013,Memphis Cook Convention Center,Good L2L Convention at Cook Convention Center,John Dan K,30
"I have visited over 94 National Cemeteries or other veterans cemeteries as part of my Survivor's Guilt. I also serve on an honor guard in a National Cemetery. I dragged my wife through 7 veterans cemeteries in a recent trip through Tennessee and apologized to her. She corrected me by saying, ""No, every young person needs to visit one of these!"" I failed to do my research where I would have discovered that 1700 of the steamboat Sultana are buried here after the worst maritime disaster in American history. On the way home from Andersonville Prison and another, boilers exploded killing 1700 or more. Some would have died being so emaciated from the prison they could not swim. Also, ""Colored Troops"" as they were called then are buried there from the massacre of Fort Pillow. Possibly the bravest of all Civil War troops, black soldiers were warned they would be put to death if captured. That they were. Their fort was overrun by a greatly outnumbered force and the captured were murdered.",February 2019,Memphis National Cemetery,A monument to the cost of freedom,CMHughes,50
"Lovely antique mall that has somerhing for everyone. The front of the store has some lovely high end pieces. Further back, the store is filled with many booths that are packed with an assortment of items from vintage to real antiques. The prices are quite reasonable on most items and there lots of sales going on in October.  A wide variety of items and a large inventory neatly laid out, makes this an enjoyable place to shop. The sales staff is very friendly and more than willing to help you find what you are looking for or to find a price for you.  We found several treasures and had fun doing so.",October 2018,Antique Gallery,Outstanding!,vickid266,50
off old syummer ave down from sucamore view,November 2018,Antique Gallery,hard to find but worth the search,Nomad509395,50
"Difficult to sort through the ""stuff"" vs ""antiques"" or other objects of Value. There does appear to be a number of vendors renting space so items may turn over frequently. Prices are good. ",September 2019,Antique Gallery,Good prices,SymnCwl,30
"We were looking for something new and different to do in Memphis during a recent visit and came across Pyramid Vodka.  Arrived right after they opened on Saturday morning and had a great visit.  Got a tour of the production operation, from grinding corn to bottling the final product as well as a small sample at the end of the tour in the small but comfortable tasting room.  Very friendly, knowledgeable staff/owner, great experience.  If you are looking for something different to do in Memphis or have a free hour, check them out.",April 2016,Pyramid Vodka,Check it out!  Unique and interesting,Dave D,50
We really enjoyed John McArthur's explanation of the distilling process even though it was shut down for expansion .  The sample was very good and it was nice we could purchase a bottle there .,July 2016,Pyramid Vodka,Very informative,beadazzled2013,40
"Great local company that does everything from start to finish in house. Smooth vodka, ver personable staff that is not only knowledgable but passionate about their product. Your is free, vodka is very reasonably priced. Definitely worth the time for vodka drinkers or not. ",August 2016,Pyramid Vodka,Cool experience,Jhh5318,50
"So informative. The tour showed us start to finish the process of vodka making followed by a taste test. Great vodka, give it a try.",August 2016,Pyramid Vodka,Worth a visit,April C,50
This was a fun stop on our trip. The staff was knowledgeable and able to answer all our questions. The Vodka is excellent also!,August 2016,Pyramid Vodka,Knowledgeable staff,michellehF1745WF,50
This park was right across the street from our hotel. It's not very big. It is very clean. There are several places where you can sit and watch the birds and squirrels. There is a fountain in the center of it. The trees here are old and beautiful. The trolley runs along one side...Main Street...of the park. This park even has free Wi-Fi. We walked through here several times during our trip to Memphis. One thing we noticed was after dusk there were several people sleeping on the park benches. Just saying. . .,November 2016,Court Square,Nice little park,Sharon M,40
"Love love love Food Truck Thursdays!! Lots of choices for lunch. The only drawback is that some lines are longer and you have to wait, possibly up to 10-20 minutes depending on which truck. But the food is always always good.",October 2016,Court Square,Lunch,Deborah K J,40
"Walked past early in the A.M. and found City Workers cleaning & sweeping to keep the Park clean & fresh ! A nice little spot to sit & relax & enjoy the sun . Noticed several food trucks moving in & jostling for positions , so expect it is a workers favourite spot later on in the day. Amazed that the Fountain was dry but full of many coins untouched by the local homeless ?? Being towards the end of a 6 week sojourn , I nearly scooped them up myself ?? A nice Square in downtown.",November 2016,Court Square,Pleasant Splash of Green in the City,Skeney57,40
Great hotel.  The breakfast was top notch and the room very clean.  Water pressure was good. Hotel staff very helpful and courteous.,April 2018,Court Square,Awesome Experience.,Andy B,50
It is a nice small green area among the high buildings for sitting and taking a rest after strolling around on the main street. Sometimes you also find a foodtruck where you can have some drink etc.,October 2018,Court Square,A Green Square among the Buildings,Solodam J,40
Don't go out of your way it's really a rundown neighborhood there's a couple places to see Aretha Franklin's abandon house historic salon and a music recording place... PS it's area is the hood ,April 2017,Soulsville,Don't go out of your way,Dee22321205,40
"This area might be looks like a bit abandon but it's getting better now. The house of Memphis Slim that years ago was half collapsed it is now ""Memphis Slim Collaboratory"", a place for future soulsville musicians. STAX, the american soul music museum with its music academy and record shop is a place should be visited if you like Memphis and the music. The Elmwood cemetary is a worth visit, too. There is a lot of small churches on both sides of Mississippi boulevard. There is a lot soul food restaurants and don't forget to stop at Sam's food Market",October 2018,Soulsville,A Place with History,Solodam J,30
"Open, supportive congregation welcome to visitors.  Exceptional music.  Choir often performs special music events in December, May and other times of the year.",April 2016,Lindenwood Christian Church,Exceptional music.,patb335,50
#MemphisTN #MadeInTN,November 2017,Lindenwood Christian Church,Great Worship Experience ,arousseaupic,50
"This was so so much fun! My LO really enjoyed himself — I recommend this 8D Movie experience to any family, friends or date looking for something different and fun- by the way, they have more than kid movies to watch in the 8D theater",April 2018,Oak Court Mall,8D Movie Experience ,Itsjacquelinew,50
Needs some updating ,July 2018,Oak Court Mall,Ok!,JULIANP710,30
We went there with a group of 4 and had a mixture of noodles and rice and chicken variaties but we became sick in a matter of hours! ,March 2019,Oak Court Mall,Avoid the Chinese place in the foodcourt.,dieg0vanh0ve,10
"I was clearly not impressed with the lack of variety of stores.  Also, there were a lot of noisy teenagers hanging around the mall before noon on a school day, and this mall has a reputation for rowdy behavior.  The mall has also lost a lot of stores.  It is not worth the trip in my opinion.",August 2019,Oak Court Mall,Outdated,QualityCounts2019,10
Took son for the first time and he LOVED it!!!  They have changing shows and I can't wait to take him again to see something new and different.,May 2014,Sharpe Planetarium,Son Loved It!!,ande5771,50
"We have a real gem in Memphis with the Pink Palace and the Sharpe Planetarium! With their changing exhibits and shows, there's always something of interest for young and not-so-young, too!",January 2017,Sharpe Planetarium,This was a special experience!,Therese H,50
"I hate to be the first not to rate this as excellent. I'm an old guy who has always loved the sky and remember visiting the Hayden Planetarium back in the day. I studied celestial navigation and loved mid watches in the Navy when I had time to brush up. The new planetarium strikes me as simply a movie theater. The Spring Skies show lasted 40 minutes. I did think it was an excellent show to teach children and beginners to spot significant stars and other objects in our spring skies. It was certainly worth the visit, especially for the 11 year old with me. The old codger in me might have felt better had the old projector been left in the center of the room. Marveling at how that worked was always part of my experience. The visit can be combined with a museum visit or max show.",June 2017,Sharpe Planetarium,Very nice but liked the old planetarium better,bxdiver65,40
Great activity for families or couples.  Educational about our solar system.  Huge dome screen makes it a cool experience to never forget.,October 2019,Sharpe Planetarium,Sharpe Planetarium,March S,40
Wonderful revitalized area in the heart of the city.  Several locally owned shops featuring art and artisan goods. Great place to buy unique gifts and hand crafted items.  They have open houses and events every First Friday of the month and also art walks twice a year the first Friday of April and November.,February 2017,Broad Avenue Arts District,WONDERFUL place with local shops!,X1199ZCsharonr,50
Nice that this neighborhood has been revived with many local restaurants and shops. Easy and safe to stroll after a meal. ,May 2019,Broad Avenue Arts District,Restaurants and shops,SymnCwl,40
"No one was there except us...watched the squirrels play, while walking and reading the information stones in park.",June 2016,Chickasaw Heritage Park,watched the squirrels play,Sheila E,40
"Ancient Mississippian culture site (14,ooo years ago +/- ) with large intact mound. Also nearby Hernando DeSoto expedition's crossing of the Mississippi River in 1541. Interesting statuary & plaques & old abandoned buildings ('French Fort'.) Across the street is  1 of only 2 Metal Museums in the world, dedicated to the artistic & practical skilled crafting of metals. They have a dot. org site",March 2017,Chickasaw Heritage Park,"Historic, activities, open greenspace, River View + Metal Museum",db_Blue,50
"The first thing you notice about the park are the two giant mounds that served as Native American ceremonial mounds and Civil War redoubt. This is where DeSoto first saw the Mississippi River. It's a quiet place across from the Metal Museum. Unless you just want to sit and chill or give the kids time to run off excess energy, 15-30 is about all you'll need here. ",June 2017,Chickasaw Heritage Park,Quiet place full of history.,grip652,40
expensive place with only ducks to bring you in. If it wasn't for the hype I don't think people would go in for the 5 minutes.  ,August 2014,Peabody Place Museum,over rated,pokehappy,30
Best place in town to see a view of the city. Plus there's a duck show for the young kids and the architecture is outstanding with a few shops and restaurants to eat at. ,February 2016,Peabody Place Museum,Great for city view ,Lsutgrs,50
"This place is also know as the Belz Museum of Asian and Judaic Art. Museum founder, Phillip Belz was the patriarch of Belz Enterprises, owner of the Peabody Hotel in downtown Memphis. First of all...you don't need to be Asian or Jewish to appreciate this museum.  This place is incredible!  For the breadth of the collections and caliber of the pieces...this place rivals anything in DC or NYC!  Just amazing.  Some of the largest pieces of Jade sculpture I've ever seen in my life.  And...not just 1 or 2...but 30-40...maybe more...incredible intricate carvings and sculptures...and this is just the Asian part...which is mostly Chinese.  The Judaica part of the museum is smaller but just as impressive.  There is a room dedicated to the Holocaust with photos of Memphian survivors and their bios and another room with photos of ""Oriental"" Jews from Yemen and Portugal.  For $5 or whatever the entrance fee was, you get ALOT of BANG for the buck.",January 2016,Peabody Place Museum,A Hidden Gem Under The Radar!,DaveHRoe,50
"It's hard to put into words what it's like to visit the Peabody, especially the hotel lobby and restaurant... don't miss out on the marching of the ducks and cool Southern architecture. ",August 2017,Peabody Place Museum,The Peabody is a must see while in Memphis,SouthernDreamsFromUT,50
"I've been to their church several times, whether it was for the treat of seeing 'Take Six' perform live......for only $5!!, or to vote.  They keep cropping up in my radar over these many years of living in Memphis as a true force for good in the Midtown/Crosstown neighborhood.  Seems like any community-development or outreach service they can render, they do, plus I've loved how they've kept that old church building viable as a neighborhood landmark, and even added on facilities to it.  Super-nice people whenever I've been around, too.",November 2012,Mississippi Boulevard Christian Church,Great Church with Great Community Service!,Yogideb58,50
